EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-9592,Rain,Light,2016-12-31 09:53:00,2016-12-31 10:53:00,30.5378,-91.1468,Baton Rouge,LA
W-9593,Rain,Light,2016-12-31 13:53:00,2016-12-31 19:48:00,30.5378,-91.1468,Baton Rouge,LA
W-9594,Rain,Moderate,2016-12-31 19:48:00,2016-12-31 20:01:00,30.5378,-91.1468,Baton Rouge,LA
W-9595,Rain,Light,2016-12-31 20:01:00,2016-12-31 20:53:00,30.5378,-91.1468,Baton Rouge,LA
W-9596,Rain,Heavy,2016-12-31 20:53:00,2016-12-31 22:10:00,30.5378,-91.1468,Baton Rouge,LA
W-9597,Rain,Light,2016-12-31 22:10:00,2016-12-31 22:53:00,30.5378,-91.1468,Baton Rouge,LA
W-9598,Rain,Moderate,2016-12-31 22:53:00,2016-12-31 23:53:00,30.5378,-91.1468,Baton Rouge,LA
W-9599,Rain,Heavy,2016-12-31 23:53:00,2017-01-01 01:37:00,30.5378,-91.1468,Baton Rouge,LA
W-16411,Snow,Light,2016-12-31 00:36:00,2016-12-31 06:50:00,43.745,-111.0912,Driggs,ID
W-16412,Fog,Severe,2016-12-31 09:14:00,2016-12-31 10:31:00,43.745,-111.0912,Driggs,ID
W-16413,Snow,Light,2016-12-31 10:31:00,2016-12-31 10:39:00,43.745,-111.0912,Driggs,ID
W-16414,Fog,Severe,2016-12-31 10:39:00,2016-12-31 11:41:00,43.745,-111.0912,Driggs,ID
W-16415,Fog,Severe,2016-12-31 12:16:00,2016-12-31 13:52:00,43.745,-111.0912,Driggs,ID
W-16416,Fog,Severe,2016-12-31 14:13:00,2016-12-31 16:37:00,43.745,-111.0912,Driggs,ID
W-16417,Snow,Light,2016-12-31 16:37:00,2016-12-31 16:52:00,43.745,-111.0912,Driggs,ID
W-16418,Fog,Severe,2016-12-31 16:52:00,2016-12-31 16:56:00,43.745,-111.0912,Driggs,ID
W-16419,Snow,Light,2016-12-31 16:56:00,2016-12-31 17:56:00,43.745,-111.0912,Driggs,ID
