EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-68905,Congestion,2,73,2016-12-31 00:03:00,2016-12-31 00:14:21,37.69046,-122.090416,,I-238 S,Castro Valley,CA
T-68906,Congestion,1,75,2016-12-31 00:02:00,2016-12-31 00:13:32,37.17738,-121.678711,,S Valley Fwy S,Morgan Hill,CA
T-68907,Lane-Blocked,2,901,2016-12-31 00:00:38,2016-12-31 00:30:18,36.842411,-121.457718,3701.0,San Juan Hwy,San Juan Bautista,CA
T-68908,Congestion,1,75,2016-12-31 00:02:00,2016-12-31 00:14:21,39.138588,-120.919754,,I-80 E,Colfax,CA
T-68910,Congestion,1,71,2016-12-31 00:14:00,2016-12-31 00:25:24,37.792484,-122.422676,1832.0,Van Ness Ave,San Francisco,CA
T-68911,Congestion,2,75,2016-12-31 00:11:00,2016-12-31 00:22:26,38.122143,-122.313332,,Sears Point Rd,Vallejo,CA
T-68912,Broken-Vehicle,3,211,2016-12-31 00:17:10,2016-12-31 00:46:45,37.808361,-122.241493,,I-580 W,Oakland,CA
T-68913,Congestion,1,70,2016-12-31 00:04:00,2016-12-31 00:26:30,38.06934,-122.22673,,Carquinez Brg E,Vallejo,CA
T-68914,Congestion,1,74,2016-12-31 00:13:00,2016-12-31 00:25:24,37.617603,-122.074287,,I-880 N,Hayward,CA
T-68916,Congestion,1,76,2016-12-31 00:10:00,2016-12-31 00:22:26,37.868946,-122.040337,,I-680 N,Alamo,CA
T-68917,Lane-Blocked,2,63,2016-12-31 00:14:16,2016-12-31 00:43:23,37.339455,-121.852043,,I-680 N,San Jose,CA
T-68919,Congestion,1,75,2016-12-31 00:05:00,2016-12-31 00:21:47,37.143375,-121.64341,,S Valley Fwy S,Morgan Hill,CA
T-68921,Congestion,1,74,2016-12-31 00:22:00,2016-12-31 00:34:37,39.419254,-123.354843,338.0,N Main St,Willits,CA
T-68922,Congestion,1,71,2016-12-31 00:22:00,2016-12-31 00:34:37,37.793369,-122.423027,1919.0,Van Ness Ave,San Francisco,CA
T-68924,Congestion,1,75,2016-12-31 00:22:00,2016-12-31 00:34:37,38.396935,-121.922417,,I-80 E,Vacaville,CA
T-68927,Broken-Vehicle,3,213,2016-12-31 00:26:03,2016-12-31 00:55:48,39.079788,-120.959267,,I-80 W,Colfax,CA
T-68928,Congestion,0,75,2016-12-31 00:24:00,2016-12-31 00:45:36,37.498974,-122.465424,3479.0,Cabrillo Hwy N,Half Moon Bay,CA
T-68929,Congestion,1,71,2016-12-31 00:28:00,2016-12-31 00:44:33,37.800617,-122.447388,216.0,Richardson Ave,San Francisco,CA
T-68930,Congestion,1,71,2016-12-31 00:30:00,2016-12-31 00:45:36,37.800213,-122.432762,3299.0,Buchanan St,San Francisco,CA
T-68931,Congestion,2,74,2016-12-31 00:26:00,2016-12-31 00:42:34,37.765942,-122.405212,1800.0,16th St,San Francisco,CA
T-68932,Accident,2,201,2016-12-31 00:31:36,2016-12-31 01:01:22,37.708279,-122.123199,15101.0,Freedom Ave,San Leandro,CA
T-68933,Congestion,1,74,2016-12-31 00:29:00,2016-12-31 00:42:34,37.923264,-122.061028,,I-680 N,Walnut Creek,CA
T-68934,Accident,2,201,2016-12-31 00:31:02,2016-12-31 01:00:49,38.273258,-122.00663,2416.0,Clay Bank Rd,Fairfield,CA
T-68935,Congestion,0,73,2016-12-31 00:31:00,2016-12-31 00:42:34,37.386463,-121.995758,,Lawrence Expy,Sunnyvale,CA
T-68937,Lane-Blocked,2,61,2016-12-31 00:36:32,2016-12-31 01:06:09,37.348618,-121.860397,,US-101 N,San Jose,CA
T-68938,Lane-Blocked,2,63,2016-12-31 00:32:10,2016-12-31 01:01:50,36.662464,-121.624008,,El Camino Real S,Salinas,CA
T-68939,Accident,2,201,2016-12-31 00:31:24,2016-12-31 01:16:03,38.159916,-121.261917,,CA-99 S,Acampo,CA
T-68940,Congestion,2,74,2016-12-31 00:24:00,2016-12-31 00:45:36,37.741871,-121.125298,,CA-99 S,Ripon,CA
T-68941,Congestion,2,73,2016-12-31 00:20:00,2016-12-31 00:44:32,37.741554,-121.124344,,CA-99 N,Ripon,CA
T-68942,Congestion,1,73,2016-12-31 00:32:00,2016-12-31 00:44:32,38.728638,-120.803406,,US-50 E,Placerville,CA
T-68943,Congestion,2,75,2016-12-31 00:38:00,2016-12-31 00:56:34,38.153568,-122.434998,4632.0,Sears Point Rd,Sonoma,CA
T-68944,Congestion,1,72,2016-12-31 00:44:00,2016-12-31 00:56:34,37.765083,-122.405144,,James Lick Fwy S,San Francisco,CA
T-68945,Congestion,2,75,2016-12-31 00:45:00,2016-12-31 00:56:34,37.78561,-122.391525,,I-80 W,San Francisco,CA
T-68946,Congestion,1,74,2016-12-31 00:44:00,2016-12-31 00:56:34,38.13055,-122.333702,,Sears Point Rd,Vallejo,CA
T-68947,Congestion,1,74,2016-12-31 00:38:00,2016-12-31 00:55:38,37.568413,-122.311218,,Bayshore Fwy N,San Mateo,CA
T-68948,Accident,2,241,2016-12-31 00:46:59,2016-12-31 01:16:43,37.556004,-122.285782,,CA-92 E,San Mateo,CA
T-68949,Congestion,1,74,2016-12-31 00:44:00,2016-12-31 00:56:34,37.748245,-122.203217,,Nimitz Fwy S,Oakland,CA
T-68950,Congestion,1,75,2016-12-31 00:42:00,2016-12-31 00:55:38,37.662762,-122.10556,,Nimitz Fwy S,Hayward,CA
T-68951,Congestion,2,75,2016-12-31 00:44:00,2016-12-31 00:56:34,37.632717,-122.085075,,I-880 N,Hayward,CA
T-68952,Congestion,1,74,2016-12-31 00:42:00,2016-12-31 00:54:35,37.234528,-121.970879,,CA-17 S,Los Gatos,CA
T-68953,Congestion,1,74,2016-12-31 00:24:00,2016-12-31 00:56:34,37.582363,-121.874092,,I-680 N,Sunol,CA
T-68954,Accident,3,241,2016-12-31 00:46:28,2016-12-31 01:16:10,37.353973,-121.837837,,I-680 N,San Jose,CA
T-68955,Lane-Blocked,2,61,2016-12-31 00:45:56,2016-12-31 01:15:33,37.99556,-121.780991,,CA-4 W,Antioch,CA
T-68956,Congestion,1,72,2016-12-31 00:35:00,2016-12-31 00:56:34,36.840496,-121.771049,1783.0,Highway 1,Moss Landing,CA
T-68957,Congestion,1,75,2016-12-31 00:43:00,2016-12-31 00:56:34,37.111465,-121.620552,,S Valley Fwy S,Morgan Hill,CA
T-68958,Accident,2,201,2016-12-31 00:43:46,2016-12-31 01:28:18,37.709003,-121.080833,,CA-99 N,Salida,CA
T-68959,Congestion,1,72,2016-12-31 00:46:00,2016-12-31 00:58:38,38.416695,-122.716103,,Redwood Hwy S,Santa Rosa,CA
T-68960,Congestion,2,70,2016-12-31 00:49:00,2016-12-31 01:00:41,38.149746,-122.56617,,Redwood Hwy,Novato,CA
T-68961,Congestion,1,72,2016-12-31 00:47:00,2016-12-31 01:03:34,37.800213,-122.432762,3299.0,Buchanan St,San Francisco,CA
T-68962,Congestion,1,72,2016-12-31 00:51:00,2016-12-31 01:03:34,37.36013,-121.841148,,I-680 N,San Jose,CA
T-68963,Congestion,2,75,2016-12-31 00:48:00,2016-12-31 01:04:33,37.737053,-121.602036,,I-580 E,Tracy,CA
T-68964,Congestion,1,75,2016-12-31 00:48:00,2016-12-31 01:00:40,38.548698,-121.473824,,CA-99 N,Sacramento,CA
T-68965,Accident,3,201,2016-12-31 00:50:17,2016-12-31 01:33:17,38.600071,-121.440025,,Capital City Fwy W,Sacramento,CA
T-68966,Congestion,1,75,2016-12-31 00:46:00,2016-12-31 00:58:38,38.736538,-121.277649,,I-80 W,Roseville,CA
T-68967,Congestion,1,76,2016-12-31 00:49:00,2016-12-31 01:01:32,38.782467,-121.229988,,I-80 W,Rocklin,CA
T-68968,Congestion,1,73,2016-12-31 00:48:00,2016-12-31 01:00:41,39.076359,-120.961151,,I-80 E,Colfax,CA
T-68969,Lane-Blocked,2,61,2016-12-31 00:52:39,2016-12-31 01:22:09,37.371834,-120.678185,,CA-99 S,Livingston,CA
T-68970,Congestion,1,73,2016-12-31 00:35:00,2016-12-31 01:08:24,37.813824,-122.477837,,Golden Gate Bridge,San Francisco,CA
T-68971,Congestion,2,74,2016-12-31 00:45:00,2016-12-31 01:11:43,37.765942,-122.405212,1800.0,16th St,San Francisco,CA
T-68972,Lane-Blocked,3,61,2016-12-31 01:01:57,2016-12-31 01:31:29,37.802197,-122.297592,,I-880 N,Oakland,CA
T-68973,Congestion,1,75,2016-12-31 00:59:00,2016-12-31 01:11:43,37.547531,-122.290573,,US-101 N,San Mateo,CA
T-68974,Broken-Vehicle,2,211,2016-12-31 00:55:46,2016-12-31 01:25:24,37.847462,-122.227699,,Warren Fwy S,Oakland,CA
T-68975,Congestion,1,72,2016-12-31 00:42:00,2016-12-31 01:11:43,37.856228,-122.215019,2498.0,Tunnel Rd,Oakland,CA
T-68976,Congestion,1,73,2016-12-31 00:53:00,2016-12-31 01:11:43,36.863792,-121.771095,1252.0,Highway 1,Moss Landing,CA
T-68977,Accident,3,241,2016-12-31 00:57:09,2016-12-31 01:26:52,37.717857,-121.666435,,I-580 E,Livermore,CA
T-68978,Congestion,1,75,2016-12-31 00:54:00,2016-12-31 01:11:43,37.764725,-121.405617,,I-205 E,Tracy,CA
T-68979,Broken-Vehicle,2,211,2016-12-31 01:00:50,2016-12-31 01:30:17,37.680676,-121.049995,,CA-99 N,Modesto,CA
T-68980,Lane-Blocked,2,61,2016-12-31 01:07:11,2016-12-31 01:36:48,38.369331,-122.712631,,US-101 N,Santa Rosa,CA
T-68981,Congestion,2,70,2016-12-31 01:13:00,2016-12-31 01:24:30,38.149746,-122.56617,,Redwood Hwy,Novato,CA
T-68982,Congestion,1,71,2016-12-31 01:12:00,2016-12-31 01:24:30,37.79361,-122.42292,1928.0,Van Ness Ave,San Francisco,CA
T-68983,Congestion,1,73,2016-12-31 01:07:00,2016-12-31 01:19:43,37.765087,-122.404892,,James Lick Fwy N,San Francisco,CA
T-68984,Congestion,2,71,2016-12-31 01:08:00,2016-12-31 01:22:44,37.60358,-122.393394,546.0,El Camino Real,Millbrae,CA
T-68985,Congestion,1,74,2016-12-31 01:09:00,2016-12-31 01:21:42,37.91721,-122.317329,,I-80 E,Richmond,CA
T-68986,Lane-Blocked,3,61,2016-12-31 01:08:58,2016-12-31 01:38:28,37.897408,-122.311752,,I-580 W,Richmond,CA
T-68987,Congestion,1,74,2016-12-31 01:01:00,2016-12-31 01:24:30,38.114391,-122.229843,,I-80 E,Vallejo,CA
T-68988,Congestion,1,75,2016-12-31 01:10:00,2016-12-31 01:24:30,37.773117,-122.22802,,Nimitz Fwy S,Oakland,CA
T-68989,Congestion,1,74,2016-12-31 01:09:00,2016-12-31 01:20:49,37.657482,-122.102051,,I-880 N,Hayward,CA
T-68990,Congestion,1,75,2016-12-31 01:04:00,2016-12-31 01:23:40,37.59227,-122.056206,,I-880 N,Union City,CA
T-68991,Lane-Blocked,2,61,2016-12-31 01:12:25,2016-12-31 01:41:58,36.988354,-122.003265,,State Highway 1,Santa Cruz,CA
T-68992,Accident,2,201,2016-12-31 01:08:16,2016-12-31 01:38:04,36.975822,-121.983017,1699.0,Capitola Rd,Santa Cruz,CA
T-68993,Broken-Vehicle,3,211,2016-12-31 01:13:02,2016-12-31 01:42:41,37.560387,-121.909203,,I-680 N,Sunol,CA
T-68994,Congestion,2,73,2016-12-31 01:09:00,2016-12-31 01:21:42,37.573456,-121.886711,,I-680 N,Sunol,CA
T-68995,Congestion,1,73,2016-12-31 01:12:00,2016-12-31 01:24:30,37.004009,-121.549774,957.0,Pacheco Pass Hwy,Gilroy,CA
T-68996,Congestion,2,74,2016-12-31 01:01:00,2016-12-31 01:21:42,36.98666,-121.486267,4248.0,Pacheco Pass Hwy,Gilroy,CA
T-68997,Broken-Vehicle,2,213,2016-12-31 01:18:40,2016-12-31 01:47:58,39.083679,-123.181892,,US-101 N,Ukiah,CA
T-68998,Broken-Vehicle,2,211,2016-12-31 01:17:36,2016-12-31 01:47:07,38.380497,-122.683334,4801.0,Petaluma Hill Rd,Santa Rosa,CA
T-68999,Congestion,1,74,2016-12-31 00:56:00,2016-12-31 01:33:49,38.236183,-122.461479,2.0,Bonneau Rd,Sonoma,CA
T-69000,Congestion,2,74,2016-12-31 01:21:00,2016-12-31 01:32:46,37.773117,-122.22802,,Nimitz Fwy S,Oakland,CA
T-69001,Congestion,1,75,2016-12-31 01:18:00,2016-12-31 01:29:33,37.662762,-122.10556,,Nimitz Fwy S,Hayward,CA
T-69002,Congestion,1,71,2016-12-31 01:13:00,2016-12-31 01:33:49,37.607197,-122.065239,,Whipple Rd,Hayward,CA
T-69003,Accident,2,201,2016-12-31 01:19:24,2016-12-31 01:49:07,37.390099,-121.991974,,US-101 N,Sunnyvale,CA
T-69004,Accident,2,241,2016-12-31 01:20:08,2016-12-31 01:49:51,37.377357,-121.945442,,Bayshore Fwy S,Santa Clara,CA
T-69005,Lane-Blocked,3,520,2016-12-31 01:23:36,2016-12-31 01:53:18,37.547215,-121.919724,,I-680 N,Fremont,CA
T-69006,Congestion,1,75,2016-12-31 01:20:00,2016-12-31 01:32:45,37.582363,-121.874092,,I-680 N,Sunol,CA
T-69007,Congestion,2,71,2016-12-31 01:24:00,2016-12-31 01:35:39,37.886738,-121.784912,17576.0,Marsh Creek Rd,Clayton,CA
T-69008,Congestion,1,74,2016-12-31 01:18:00,2016-12-31 01:30:38,36.980343,-121.557617,,S Valley Fwy S,Gilroy,CA
T-69011,Congestion,1,74,2016-12-31 01:17:00,2016-12-31 01:29:33,38.583004,-121.503479,,CA-99 S,Sacramento,CA
T-69012,Lane-Blocked,3,520,2016-12-31 01:23:04,2016-12-31 01:52:47,39.150806,-120.89621,,I-80 E,Colfax,CA
T-69013,Lane-Blocked,3,520,2016-12-31 01:25:46,2016-12-31 01:55:27,39.150806,-120.89621,,I-80 E,Colfax,CA
T-69014,Accident,2,201,2016-12-31 01:22:06,2016-12-31 01:51:59,38.703842,-120.856354,6300.0,Runnymeade Dr,Placerville,CA
T-69015,Congestion,2,74,2016-12-31 01:33:00,2016-12-31 01:45:38,38.192368,-122.600372,5303.0,Redwood Hwy S,Petaluma,CA
T-69016,Congestion,0,76,2016-12-31 01:30:00,2016-12-31 01:42:36,37.498974,-122.465424,3479.0,Cabrillo Hwy N,Half Moon Bay,CA
T-69017,Broken-Vehicle,2,211,2016-12-31 01:26:30,2016-12-31 01:56:14,37.523506,-122.266846,,US-101 N,Belmont,CA
