EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-1272,Snow,Light,2018-12-31 14:54:00,2018-12-31 15:18:00,0.0,38.0972,-106.1689,Saguache,CO
W-1273,Snow,Light,2018-12-31 15:36:00,2018-12-31 20:36:00,0.0,38.0972,-106.1689,Saguache,CO
W-1274,Snow,Light,2018-12-31 21:53:00,2019-01-01 19:36:00,0.0,38.0972,-106.1689,Saguache,CO
W-5020,Rain,Light,2018-12-31 03:55:00,2018-12-31 04:15:00,0.0,34.6986,-99.3381,Altus,OK
W-5021,Rain,Light,2018-12-31 06:35:00,2018-12-31 06:55:00,0.0,34.6986,-99.3381,Altus,OK
W-5022,Rain,Light,2018-12-31 12:35:00,2018-12-31 12:55:00,0.0,34.6986,-99.3381,Altus,OK
W-14574,Rain,Light,2018-12-31 18:47:00,2018-12-31 18:53:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-14575,Fog,Severe,2018-12-31 18:53:00,2018-12-31 19:03:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-14576,Rain,Heavy,2018-12-31 19:03:00,2018-12-31 19:53:00,0.34,30.5378,-91.1468,Baton Rouge,LA
W-14577,Precipitation,UNK,2018-12-31 19:53:00,2018-12-31 20:15:00,0.36,30.5378,-91.1468,Baton Rouge,LA
W-14578,Rain,Light,2018-12-31 21:13:00,2018-12-31 22:53:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-19455,Snow,Light,2018-12-31 19:15:00,2019-01-01 01:15:00,0.0,43.9581,-90.7397,Sparta,WI
W-29751,Rain,Light,2018-12-31 15:53:00,2019-01-01 00:47:00,0.75,42.8808,-85.5228,Grand Rapids,MI
W-37671,Snow,Light,2018-12-31 01:10:00,2018-12-31 01:30:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37672,Snow,Light,2018-12-31 03:50:00,2018-12-31 04:10:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37673,Snow,Light,2018-12-31 04:35:00,2018-12-31 05:10:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37674,Snow,Light,2018-12-31 05:30:00,2018-12-31 07:15:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37675,Snow,Light,2018-12-31 09:10:00,2018-12-31 09:30:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37676,Snow,Light,2018-12-31 09:55:00,2018-12-31 14:30:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37677,Fog,Moderate,2018-12-31 14:55:00,2018-12-31 15:50:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37678,Snow,Light,2018-12-31 16:35:00,2018-12-31 16:50:00,0.0,41.8241,-110.557,Kemmerer,WY
W-37679,Fog,Moderate,2018-12-31 16:50:00,2018-12-31 17:10:00,0.0,41.8241,-110.557,Kemmerer,WY
W-43301,Rain,Light,2018-12-31 22:29:00,2019-01-01 02:54:00,0.33,42.4269,-73.289,Pittsfield,MA
W-48902,Rain,Light,2018-12-31 11:19:00,2018-12-31 14:54:00,0.08,39.1209,-94.5972,Kansas City,MO
W-48903,Rain,Moderate,2018-12-31 14:54:00,2018-12-31 15:34:00,0.1,39.1209,-94.5972,Kansas City,MO
W-48904,Rain,Light,2018-12-31 15:34:00,2018-12-31 15:54:00,0.09,39.1209,-94.5972,Kansas City,MO
W-48905,Rain,Moderate,2018-12-31 15:54:00,2018-12-31 16:04:00,0.13,39.1209,-94.5972,Kansas City,MO
W-48906,Rain,Light,2018-12-31 16:04:00,2018-12-31 18:32:00,0.11,39.1209,-94.5972,Kansas City,MO
W-48907,Snow,Moderate,2018-12-31 18:32:00,2018-12-31 18:54:00,0.05,39.1209,-94.5972,Kansas City,MO
W-48908,Rain,Light,2018-12-31 19:54:00,2018-12-31 20:54:00,0.0,39.1209,-94.5972,Kansas City,MO
W-52277,Rain,Light,2018-12-31 03:48:00,2018-12-31 06:53:00,0.2,36.0425,-95.99,Tulsa,OK
W-52278,Rain,Moderate,2018-12-31 06:53:00,2018-12-31 07:02:00,0.17,36.0425,-95.99,Tulsa,OK
W-52279,Rain,Light,2018-12-31 07:02:00,2018-12-31 07:26:00,0.04,36.0425,-95.99,Tulsa,OK
W-52280,Rain,Moderate,2018-12-31 07:26:00,2018-12-31 08:53:00,0.45,36.0425,-95.99,Tulsa,OK
W-52281,Rain,Light,2018-12-31 08:53:00,2018-12-31 11:53:00,0.47,36.0425,-95.99,Tulsa,OK
W-52282,Rain,Moderate,2018-12-31 11:53:00,2018-12-31 12:23:00,0.15,36.0425,-95.99,Tulsa,OK
W-52283,Rain,Light,2018-12-31 12:23:00,2018-12-31 14:53:00,0.32,36.0425,-95.99,Tulsa,OK
W-52284,Rain,Light,2018-12-31 15:31:00,2018-12-31 15:51:00,0.0,36.0425,-95.99,Tulsa,OK
W-61677,Rain,Light,2018-12-31 06:35:00,2018-12-31 12:35:00,0.29,34.9157,-81.9565,Roebuck,SC
W-61678,Rain,Light,2018-12-31 12:55:00,2018-12-31 13:35:00,0.07,34.9157,-81.9565,Roebuck,SC
W-61679,Rain,Light,2018-12-31 14:35:00,2018-12-31 15:15:00,0.02,34.9157,-81.9565,Roebuck,SC
W-61680,Rain,Light,2018-12-31 16:15:00,2018-12-31 16:35:00,0.0,34.9157,-81.9565,Roebuck,SC
W-61681,Rain,Light,2018-12-31 17:15:00,2018-12-31 17:55:00,0.01,34.9157,-81.9565,Roebuck,SC
W-61682,Rain,Light,2018-12-31 19:55:00,2018-12-31 21:15:00,0.0,34.9157,-81.9565,Roebuck,SC
W-61683,Rain,Light,2018-12-31 22:35:00,2019-01-01 02:35:00,0.0,34.9157,-81.9565,Roebuck,SC
W-67000,Fog,Severe,2018-12-31 09:25:00,2018-12-31 09:45:00,0.0,35.5825,-79.1014,Sanford,NC
W-67001,Rain,Light,2018-12-31 10:05:00,2018-12-31 10:45:00,0.0,35.5825,-79.1014,Sanford,NC
W-67002,Rain,Light,2018-12-31 12:25:00,2018-12-31 13:45:00,0.01,35.5825,-79.1014,Sanford,NC
W-67003,Rain,Light,2018-12-31 14:25:00,2018-12-31 14:45:00,0.0,35.5825,-79.1014,Sanford,NC
W-67004,Rain,Light,2018-12-31 15:05:00,2018-12-31 16:25:00,0.06,35.5825,-79.1014,Sanford,NC
W-67005,Rain,Light,2018-12-31 16:45:00,2018-12-31 17:05:00,0.0,35.5825,-79.1014,Sanford,NC
W-73237,Rain,Light,2018-12-31 22:53:00,2019-01-01 01:53:00,0.2,41.3509,-71.8054,Westerly,RI
W-79057,Snow,Light,2018-12-31 23:54:00,2019-01-01 00:39:00,0.01,42.2706,-71.8731,Worcester,MA
W-86082,Rain,Light,2018-12-31 15:15:00,2018-12-31 15:35:00,0.0,42.5764,-84.8124,Charlotte,MI
W-86083,Snow,Light,2018-12-31 15:35:00,2018-12-31 15:55:00,0.01,42.5764,-84.8124,Charlotte,MI
W-86084,Snow,Moderate,2018-12-31 15:55:00,2018-12-31 16:15:00,0.03,42.5764,-84.8124,Charlotte,MI
W-86085,Rain,Light,2018-12-31 16:15:00,2018-12-31 16:35:00,0.02,42.5764,-84.8124,Charlotte,MI
W-86086,Snow,Light,2018-12-31 16:35:00,2018-12-31 16:55:00,0.02,42.5764,-84.8124,Charlotte,MI
W-86087,Rain,Light,2018-12-31 16:55:00,2018-12-31 18:55:00,0.23,42.5764,-84.8124,Charlotte,MI
W-86088,Snow,Heavy,2018-12-31 18:55:00,2018-12-31 19:15:00,0.11,42.5764,-84.8124,Charlotte,MI
W-86089,Snow,Moderate,2018-12-31 19:15:00,2018-12-31 19:35:00,0.06,42.5764,-84.8124,Charlotte,MI
W-86090,Rain,Moderate,2018-12-31 19:55:00,2018-12-31 20:15:00,0.21,42.5764,-84.8124,Charlotte,MI
W-86091,Rain,Light,2018-12-31 20:15:00,2018-12-31 20:35:00,0.08,42.5764,-84.8124,Charlotte,MI
W-86092,Rain,Moderate,2018-12-31 20:35:00,2018-12-31 21:15:00,0.31,42.5764,-84.8124,Charlotte,MI
W-86093,Rain,Light,2018-12-31 21:55:00,2019-01-01 02:35:00,0.08,42.5764,-84.8124,Charlotte,MI
W-92689,Fog,Moderate,2018-12-31 15:52:00,2018-12-31 16:45:00,0.0,42.955,-87.9044,Milwaukee,WI
W-92690,Rain,Light,2018-12-31 16:45:00,2018-12-31 22:52:00,0.46,42.955,-87.9044,Milwaukee,WI
W-92691,Rain,Moderate,2018-12-31 22:52:00,2018-12-31 22:59:00,0.12,42.955,-87.9044,Milwaukee,WI
W-92692,Rain,Light,2018-12-31 22:59:00,2018-12-31 23:35:00,0.0,42.955,-87.9044,Milwaukee,WI
W-92693,Snow,Heavy,2018-12-31 23:35:00,2019-01-01 00:37:00,0.16,42.955,-87.9044,Milwaukee,WI
W-97017,Rain,Light,2018-12-31 21:53:00,2019-01-01 00:53:00,0.24,41.2638,-72.8868,East Haven,CT
W-102489,Rain,Light,2018-12-31 00:53:00,2018-12-31 01:53:00,0.0,45.7691,-122.8637,Scappoose,OR
W-102490,Fog,Severe,2018-12-31 07:21:00,2018-12-31 07:45:00,0.0,45.7691,-122.8637,Scappoose,OR
W-102491,Fog,Severe,2018-12-31 07:50:00,2018-12-31 08:05:00,0.0,45.7691,-122.8637,Scappoose,OR
W-102492,Fog,Severe,2018-12-31 08:28:00,2018-12-31 10:07:00,0.0,45.7691,-122.8637,Scappoose,OR
W-102493,Fog,Severe,2018-12-31 10:20:00,2018-12-31 10:46:00,0.0,45.7691,-122.8637,Scappoose,OR
W-102494,Fog,Severe,2018-12-31 10:55:00,2018-12-31 11:25:00,0.0,45.7691,-122.8637,Scappoose,OR
W-102495,Fog,Severe,2018-12-31 12:24:00,2018-12-31 13:36:00,0.0,45.7691,-122.8637,Scappoose,OR
W-102496,Fog,Severe,2018-12-31 14:17:00,2018-12-31 19:32:00,0.0,45.7691,-122.8637,Scappoose,OR
W-108053,Rain,Light,2018-12-31 00:27:00,2018-12-31 00:40:00,0.0,46.7973,-102.8019,Dickinson,ND
W-108054,Snow,Light,2018-12-31 00:40:00,2018-12-31 04:47:00,0.0,46.7973,-102.8019,Dickinson,ND
W-108055,Fog,Moderate,2018-12-31 04:47:00,2018-12-31 04:56:00,0.0,46.7973,-102.8019,Dickinson,ND
W-108056,Snow,Light,2018-12-31 04:56:00,2018-12-31 06:31:00,0.0,46.7973,-102.8019,Dickinson,ND
W-112256,Snow,Light,2018-12-31 15:53:00,2018-12-31 23:00:00,0.0,44.5483,-95.0804,Redwood Falls,MN
W-112257,Snow,Light,2018-12-31 23:12:00,2019-01-01 00:07:00,0.0,44.5483,-95.0804,Redwood Falls,MN
W-116653,Rain,Light,2018-12-31 04:53:00,2018-12-31 05:30:00,0.0,45.5511,-122.4089,Troutdale,OR
W-116654,Fog,Severe,2018-12-31 16:34:00,2018-12-31 17:21:00,0.0,45.5511,-122.4089,Troutdale,OR
