EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-1233,Snow,Light,2018-12-31 14:54:00,2018-12-31 15:18:00,38.0972,-106.1689,Saguache,CO
W-1234,Snow,Light,2018-12-31 15:36:00,2018-12-31 20:36:00,38.0972,-106.1689,Saguache,CO
W-1235,Snow,Light,2018-12-31 21:53:00,2019-01-01 19:36:00,38.0972,-106.1689,Saguache,CO
W-4355,Rain,Light,2018-12-31 03:55:00,2018-12-31 04:15:00,34.6986,-99.3381,Altus,OK
W-4356,Rain,Light,2018-12-31 06:35:00,2018-12-31 06:55:00,34.6986,-99.3381,Altus,OK
W-4357,Rain,Light,2018-12-31 12:35:00,2018-12-31 12:55:00,34.6986,-99.3381,Altus,OK
W-11001,Rain,Light,2018-12-31 18:47:00,2018-12-31 18:53:00,30.5378,-91.1468,Baton Rouge,LA
W-11002,Fog,Severe,2018-12-31 18:53:00,2018-12-31 19:03:00,30.5378,-91.1468,Baton Rouge,LA
W-11003,Rain,Heavy,2018-12-31 19:03:00,2018-12-31 19:53:00,30.5378,-91.1468,Baton Rouge,LA
W-11004,Precipitation,UNK,2018-12-31 19:53:00,2018-12-31 20:15:00,30.5378,-91.1468,Baton Rouge,LA
W-11005,Rain,Light,2018-12-31 21:13:00,2018-12-31 22:53:00,30.5378,-91.1468,Baton Rouge,LA
W-14421,Snow,Light,2018-12-31 19:15:00,2019-01-01 01:15:00,43.9581,-90.7397,Sparta,WI
W-21816,Rain,Light,2018-12-31 15:53:00,2019-01-01 00:47:00,42.8808,-85.5228,Grand Rapids,MI
W-27055,Snow,Light,2018-12-31 01:10:00,2018-12-31 01:30:00,41.8241,-110.557,Kemmerer,WY
W-27056,Snow,Light,2018-12-31 03:50:00,2018-12-31 04:10:00,41.8241,-110.557,Kemmerer,WY
W-27057,Snow,Light,2018-12-31 04:35:00,2018-12-31 05:10:00,41.8241,-110.557,Kemmerer,WY
W-27058,Snow,Light,2018-12-31 05:30:00,2018-12-31 07:15:00,41.8241,-110.557,Kemmerer,WY
W-27059,Snow,Light,2018-12-31 09:10:00,2018-12-31 09:30:00,41.8241,-110.557,Kemmerer,WY
W-27060,Snow,Light,2018-12-31 09:55:00,2018-12-31 14:30:00,41.8241,-110.557,Kemmerer,WY
W-27061,Fog,Moderate,2018-12-31 14:55:00,2018-12-31 15:50:00,41.8241,-110.557,Kemmerer,WY
W-27062,Snow,Light,2018-12-31 16:35:00,2018-12-31 16:50:00,41.8241,-110.557,Kemmerer,WY
W-27063,Fog,Moderate,2018-12-31 16:50:00,2018-12-31 17:10:00,41.8241,-110.557,Kemmerer,WY
W-31164,Rain,Light,2018-12-31 22:29:00,2019-01-01 02:54:00,42.4269,-73.289,Pittsfield,MA
W-34456,Rain,Light,2018-12-31 11:19:00,2018-12-31 14:54:00,39.1209,-94.5972,Kansas City,MO
W-34457,Rain,Moderate,2018-12-31 14:54:00,2018-12-31 15:34:00,39.1209,-94.5972,Kansas City,MO
W-34458,Rain,Light,2018-12-31 15:34:00,2018-12-31 15:54:00,39.1209,-94.5972,Kansas City,MO
W-34459,Rain,Moderate,2018-12-31 15:54:00,2018-12-31 16:04:00,39.1209,-94.5972,Kansas City,MO
W-34460,Rain,Light,2018-12-31 16:04:00,2018-12-31 18:32:00,39.1209,-94.5972,Kansas City,MO
W-34461,Snow,Moderate,2018-12-31 18:32:00,2018-12-31 18:54:00,39.1209,-94.5972,Kansas City,MO
W-34462,Rain,Light,2018-12-31 19:54:00,2018-12-31 20:54:00,39.1209,-94.5972,Kansas City,MO
