EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-10221,Snow,Light,2019-12-31 00:35:00,2019-12-31 02:15:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-10222,Fog,Severe,2019-12-31 02:15:00,2019-12-31 02:55:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-10223,Snow,Light,2019-12-31 02:55:00,2019-12-31 07:35:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-24977,Snow,Light,2019-12-31 13:54:00,2020-01-01 02:56:00,0.0,43.745,-111.0912,Driggs,ID
W-30705,Snow,Moderate,2019-12-31 07:50:00,2019-12-31 08:05:00,0.06,42.8808,-85.5228,Grand Rapids,MI
W-30706,Snow,Light,2019-12-31 08:05:00,2019-12-31 09:53:00,0.02,42.8808,-85.5228,Grand Rapids,MI
W-30707,Snow,Moderate,2019-12-31 09:53:00,2019-12-31 10:26:00,0.04,42.8808,-85.5228,Grand Rapids,MI
W-30708,Snow,Light,2019-12-31 10:26:00,2020-01-01 03:53:00,0.1,42.8808,-85.5228,Grand Rapids,MI
W-38363,Fog,Severe,2019-12-31 07:15:00,2019-12-31 07:35:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38364,Fog,Severe,2019-12-31 09:15:00,2019-12-31 09:35:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38365,Snow,Light,2019-12-31 09:35:00,2019-12-31 10:15:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38366,Fog,Severe,2019-12-31 10:15:00,2019-12-31 10:35:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38367,Snow,Light,2019-12-31 10:35:00,2019-12-31 10:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38368,Fog,Severe,2019-12-31 10:55:00,2019-12-31 11:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38369,Snow,Light,2019-12-31 11:55:00,2019-12-31 12:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38370,Snow,Light,2019-12-31 13:35:00,2019-12-31 14:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38371,Fog,Severe,2019-12-31 20:15:00,2019-12-31 20:35:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38372,Snow,Light,2019-12-31 20:35:00,2019-12-31 20:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-38373,Snow,Light,2019-12-31 21:15:00,2019-12-31 21:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-44378,Snow,Light,2019-12-31 05:54:00,2019-12-31 06:11:00,0.0,42.4269,-73.289,Pittsfield,MA
W-44379,Snow,Light,2019-12-31 13:10:00,2019-12-31 13:40:00,0.0,42.4269,-73.289,Pittsfield,MA
W-44380,Snow,Light,2019-12-31 18:27:00,2019-12-31 18:54:00,0.0,42.4269,-73.289,Pittsfield,MA
W-44381,Snow,Light,2019-12-31 23:54:00,2020-01-01 00:21:00,0.01,42.4269,-73.289,Pittsfield,MA
W-74110,Fog,Moderate,2019-12-31 04:53:00,2019-12-31 05:32:00,0.0,41.3509,-71.8054,Westerly,RI
W-74111,Fog,Severe,2019-12-31 05:32:00,2019-12-31 05:53:00,0.0,41.3509,-71.8054,Westerly,RI
W-74112,Fog,Moderate,2019-12-31 05:53:00,2019-12-31 07:53:00,0.0,41.3509,-71.8054,Westerly,RI
W-74113,Rain,Light,2019-12-31 08:50:00,2019-12-31 09:02:00,0.0,41.3509,-71.8054,Westerly,RI
W-74114,Fog,Moderate,2019-12-31 09:02:00,2019-12-31 09:53:00,0.0,41.3509,-71.8054,Westerly,RI
W-80053,Snow,Heavy,2019-12-31 00:08:00,2019-12-31 00:49:00,0.22,42.2706,-71.8731,Worcester,MA
W-80054,Snow,Moderate,2019-12-31 01:20:00,2019-12-31 01:31:00,0.06,42.2706,-71.8731,Worcester,MA
W-80055,Snow,Heavy,2019-12-31 01:39:00,2019-12-31 02:26:00,0.2,42.2706,-71.8731,Worcester,MA
W-80056,Snow,Moderate,2019-12-31 02:26:00,2019-12-31 02:35:00,0.04,42.2706,-71.8731,Worcester,MA
W-80057,Snow,Moderate,2019-12-31 02:50:00,2019-12-31 02:54:00,0.06,42.2706,-71.8731,Worcester,MA
W-80058,Snow,Heavy,2019-12-31 02:54:00,2019-12-31 03:23:00,0.07,42.2706,-71.8731,Worcester,MA
W-80059,Snow,Moderate,2019-12-31 03:34:00,2019-12-31 03:48:00,0.04,42.2706,-71.8731,Worcester,MA
W-80060,Fog,Severe,2019-12-31 05:42:00,2019-12-31 05:51:00,0.0,42.2706,-71.8731,Worcester,MA
W-80061,Fog,Severe,2019-12-31 06:11:00,2019-12-31 06:19:00,0.0,42.2706,-71.8731,Worcester,MA
W-80062,Fog,Severe,2019-12-31 06:31:00,2019-12-31 06:54:00,0.0,42.2706,-71.8731,Worcester,MA
W-80063,Fog,Severe,2019-12-31 07:11:00,2019-12-31 07:35:00,0.0,42.2706,-71.8731,Worcester,MA
W-80064,Fog,Severe,2019-12-31 08:19:00,2019-12-31 08:41:00,0.0,42.2706,-71.8731,Worcester,MA
W-80065,Fog,Severe,2019-12-31 09:23:00,2019-12-31 09:28:00,0.0,42.2706,-71.8731,Worcester,MA
W-80066,Fog,Severe,2019-12-31 09:54:00,2019-12-31 10:09:00,0.0,42.2706,-71.8731,Worcester,MA
W-80067,Snow,Light,2019-12-31 11:10:00,2019-12-31 11:25:00,0.0,42.2706,-71.8731,Worcester,MA
W-80068,Fog,Severe,2019-12-31 12:27:00,2019-12-31 14:54:00,0.0,42.2706,-71.8731,Worcester,MA
W-80069,Fog,Severe,2019-12-31 16:20:00,2019-12-31 16:27:00,0.0,42.2706,-71.8731,Worcester,MA
W-80070,Fog,Severe,2019-12-31 17:38:00,2019-12-31 22:05:00,0.0,42.2706,-71.8731,Worcester,MA
W-80071,Fog,Severe,2019-12-31 22:54:00,2020-01-01 00:17:00,0.0,42.2706,-71.8731,Worcester,MA
