EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-5589,Rain,Light,2020-12-31 22:15:00,2020-12-31 22:24:00,34.6986,-99.3381,Altus,OK
W-5590,Rain,Light,2020-12-31 23:08:00,2020-12-31 23:23:00,34.6986,-99.3381,Altus,OK
W-12244,Rain,Light,2020-12-31 11:53:00,2020-12-31 12:53:00,30.5378,-91.1468,Baton Rouge,LA
W-12245,Rain,Light,2020-12-31 19:53:00,2020-12-31 20:49:00,30.5378,-91.1468,Baton Rouge,LA
W-12246,Rain,Light,2020-12-31 21:13:00,2020-12-31 21:53:00,30.5378,-91.1468,Baton Rouge,LA
W-12247,Rain,Light,2020-12-31 22:55:00,2020-12-31 22:56:00,30.5378,-91.1468,Baton Rouge,LA
W-19534,Snow,Light,2020-12-31 02:56:00,2020-12-31 03:56:00,43.745,-111.0912,Driggs,ID
W-19535,Snow,Light,2020-12-31 05:56:00,2020-12-31 07:56:00,43.745,-111.0912,Driggs,ID
W-19536,Snow,Light,2020-12-31 09:56:00,2020-12-31 10:56:00,43.745,-111.0912,Driggs,ID
W-19537,Snow,Light,2020-12-31 11:56:00,2020-12-31 18:56:00,43.745,-111.0912,Driggs,ID
W-28458,Snow,Light,2020-12-31 10:55:00,2020-12-31 11:55:00,41.8241,-110.557,Kemmerer,WY
W-28459,Snow,Light,2020-12-31 12:15:00,2020-12-31 13:15:00,41.8241,-110.557,Kemmerer,WY
W-28460,Snow,Light,2020-12-31 13:35:00,2020-12-31 13:55:00,41.8241,-110.557,Kemmerer,WY
W-33154,Rain,Light,2020-12-31 02:54:00,2020-12-31 08:54:00,42.4269,-73.289,Pittsfield,MA
W-33155,Rain,Light,2020-12-31 09:51:00,2020-12-31 10:54:00,42.4269,-73.289,Pittsfield,MA
W-33156,Rain,Light,2020-12-31 11:08:00,2020-12-31 11:28:00,42.4269,-73.289,Pittsfield,MA
W-33157,Snow,Light,2020-12-31 13:11:00,2020-12-31 13:40:00,42.4269,-73.289,Pittsfield,MA
W-44578,Rain,Light,2020-12-31 09:35:00,2020-12-31 09:55:00,34.9157,-81.9565,Roebuck,SC
W-44579,Rain,Light,2020-12-31 10:15:00,2020-12-31 11:15:00,34.9157,-81.9565,Roebuck,SC
