EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-6839054,Construction,0,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.368301,-71.034767,106.0,Cottage St,Boston,MA
T-6839055,Construction,0,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.369511,-71.03331,158.0,Gove St,Boston,MA
T-6839056,Construction,0,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.369831,-71.034073,131.0,Gove St,Boston,MA
T-6839057,Construction,0,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.370152,-71.034737,100.0,Gove St,Boston,MA
T-6839058,Construction,0,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.370918,-71.036537,,Bremen St,East Boston,MA
T-6839059,Construction,0,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.371929,-71.03817,19.0,Gove St,Boston,MA
T-6839060,Construction,0,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.372829,-71.035423,118.0,Chelsea St,Boston,MA
T-6839062,Construction,2,701,2017-12-31 05:00:00,2020-10-01 03:59:00,42.378792,-71.028427,302.0,Bennington St,Boston,MA
T-25939604,Construction,2,735,2017-12-31 14:00:00,2018-03-01 00:01:00,38.935684,-104.810448,7199.0,Vincent Dr,Colorado Springs,CO
T-27469928,Congestion,2,76,2017-12-31 05:37:00,2017-12-31 06:40:38,41.789726,-80.17646,,I-79 N,Venango,PA
T-27469933,Congestion,2,73,2017-12-31 05:42:00,2017-12-31 06:40:38,42.119396,-79.962509,,I-90 W,Erie,PA
T-27469935,Congestion,0,75,2017-12-31 05:50:00,2017-12-31 06:45:37,41.951183,-80.328941,8475.0,Meadville Rd,Girard,PA
T-27469936,Congestion,2,76,2017-12-31 05:59:00,2017-12-31 06:44:30,41.984505,-80.175774,,I-79 S,Mc Kean,PA
T-27469937,Congestion,1,75,2017-12-31 06:01:00,2017-12-31 06:45:37,42.214302,-79.797844,,I-90 W,North East,PA
T-27469938,Congestion,2,74,2017-12-31 06:13:00,2017-12-31 06:55:41,42.086559,-80.116982,,I-79 S,Erie,PA
T-27469939,Congestion,1,75,2017-12-31 06:13:00,2017-12-31 06:59:30,41.808964,-79.698761,23555.0,State Highway 89 And 77,Spartansburg,PA
T-27469940,Congestion,2,74,2017-12-31 06:15:00,2017-12-31 06:56:34,42.016808,-80.199844,,I-90 W,Fairview,PA
T-27469941,Congestion,2,76,2017-12-31 06:22:00,2017-12-31 07:05:38,42.217964,-79.792648,,I-90 E,North East,PA
T-27469942,Congestion,1,73,2017-12-31 06:33:00,2017-12-31 07:14:31,41.848076,-80.176033,,I-79 S,Edinboro,PA
T-27469943,Congestion,2,75,2017-12-31 06:31:00,2017-12-31 07:12:34,41.888165,-80.176285,,I-79 S,Edinboro,PA
T-27469944,Congestion,2,73,2017-12-31 06:31:00,2017-12-31 07:25:03,41.822624,-78.389214,19341.0,Route 6,Smethport,PA
T-27469945,Congestion,1,74,2017-12-31 06:35:00,2017-12-31 07:25:33,41.856705,-79.828415,17737.0,State Highway 8,Union City,PA
T-27469946,Congestion,2,74,2017-12-31 06:47:00,2017-12-31 07:29:31,41.937675,-80.518837,,I-90 W,West Springfield,PA
T-27469947,Congestion,2,74,2017-12-31 06:44:00,2017-12-31 07:29:31,42.016808,-80.199844,,I-90 W,Fairview,PA
T-27469948,Congestion,2,73,2017-12-31 06:46:00,2017-12-31 07:29:31,42.119934,-79.961708,,I-90 W,Erie,PA
T-27469949,Congestion,2,76,2017-12-31 06:45:00,2017-12-31 07:30:33,42.183701,-79.835648,,I-90 W,North East,PA
T-27469950,Congestion,2,75,2017-12-31 06:53:00,2017-12-31 07:35:32,42.162952,-79.869186,,I-90 E,North East,PA
T-27469951,Congestion,2,74,2017-12-31 06:55:00,2017-12-31 07:39:30,41.866844,-80.176414,,I-79 N,Edinboro,PA
T-27469952,Congestion,1,75,2017-12-31 06:59:00,2017-12-31 07:40:32,41.943851,-80.418404,,I-90 E,Girard,PA
T-27469953,Congestion,2,74,2017-12-31 06:55:00,2017-12-31 07:38:31,42.09483,-80.003334,,I-90 W,Erie,PA
T-27469954,Congestion,2,76,2017-12-31 06:59:00,2017-12-31 07:40:32,42.175552,-79.843948,,I-90 W,North East,PA
T-27469955,Congestion,3,71,2017-12-31 06:59:00,2017-12-31 07:40:05,42.909489,-78.901459,,I-190 S,Buffalo,NY
T-27469956,Congestion,1,74,2017-12-31 07:06:00,2017-12-31 07:47:36,42.071301,-80.037895,,I-90 W,Erie,PA
T-27469957,Congestion,2,74,2017-12-31 07:08:00,2017-12-31 07:49:33,42.101349,-79.989616,,I-90 E,Erie,PA
T-27469958,Congestion,2,76,2017-12-31 07:10:00,2017-12-31 07:53:29,41.787582,-80.177361,,I-79 N,Venango,PA
T-27469959,Congestion,1,76,2017-12-31 07:14:00,2017-12-31 07:55:31,41.983147,-80.290154,,I-90 E,Girard,PA
T-27469960,Congestion,1,74,2017-12-31 07:15:00,2017-12-31 08:00:33,42.049595,-80.081352,,Peach St,Erie,PA
T-27469961,Congestion,2,74,2017-12-31 07:22:00,2017-12-31 08:05:35,42.14093,-79.828346,,PA-17 E,North East,PA
T-27469962,Congestion,1,75,2017-12-31 07:28:00,2017-12-31 08:08:31,41.87455,-80.176231,,I-79 N,Edinboro,PA
T-27469963,Congestion,2,74,2017-12-31 07:40:00,2017-12-31 08:21:29,41.931179,-80.174538,,I-79 N,Edinboro,PA
T-27469964,Congestion,2,74,2017-12-31 07:40:00,2017-12-31 08:23:30,42.013191,-80.219139,,I-90 W,Fairview,PA
T-27469965,Congestion,2,75,2017-12-31 07:43:00,2017-12-31 08:30:28,42.146091,-79.838776,,Southern Tier Expy W,North East,PA
T-27469966,Congestion,1,75,2017-12-31 07:53:00,2017-12-31 08:35:30,41.975178,-80.176712,,I-79 N,Mc Kean,PA
T-27469967,Congestion,2,76,2017-12-31 07:50:00,2017-12-31 08:35:30,41.977173,-80.305054,,I-90 W,Girard,PA
T-27469968,Congestion,2,75,2017-12-31 07:56:00,2017-12-31 08:40:31,42.020676,-80.170708,,I-90 E,Mc Kean,PA
T-27469969,Congestion,2,74,2017-12-31 07:55:00,2017-12-31 08:39:36,42.096428,-80.122459,,I-79 N,Erie,PA
T-27469970,Congestion,2,73,2017-12-31 08:03:00,2017-12-31 08:45:31,42.152843,-79.884827,,PA-17 W,North East,PA
T-27469971,Congestion,2,75,2017-12-31 08:10:00,2017-12-31 08:55:30,42.182999,-79.836128,,I-90 E,North East,PA
T-27469972,Congestion,1,76,2017-12-31 08:18:00,2017-12-31 08:58:31,41.943314,-80.46312,,I-90 W,West Springfield,PA
T-27469973,Congestion,2,76,2017-12-31 08:15:00,2017-12-31 08:59:39,41.944164,-80.417252,,I-90 W,Girard,PA
T-27469974,Congestion,1,75,2017-12-31 08:31:00,2017-12-31 09:15:03,42.890606,-78.38858,10816.0,Allegany Rd,Darien Center,NY
T-27469975,Congestion,3,73,2017-12-31 08:25:00,2017-12-31 09:20:04,42.17355,-78.388634,,Southern Tier Expy E,Hinsdale,NY
T-27469976,Congestion,2,76,2017-12-31 08:11:00,2017-12-31 09:25:32,41.776138,-80.185684,,I-79 N,Saegertown,PA
T-27469977,Congestion,2,73,2017-12-31 08:41:00,2017-12-31 09:24:37,42.152843,-79.884827,,PA-17 W,North East,PA
T-27469978,Congestion,0,75,2017-12-31 08:50:00,2017-12-31 09:35:03,42.782875,-78.392982,1961.0,Alleghany Rd,Attica,NY
T-27469979,Congestion,2,76,2017-12-31 08:57:00,2017-12-31 09:40:31,42.04092,-80.119446,,I-79 N,Erie,PA
T-27469980,Congestion,1,73,2017-12-31 08:33:00,2017-12-31 09:44:40,42.047493,-79.821198,12612.0,Route 89,Wattsburg,PA
T-27469981,Congestion,2,74,2017-12-31 09:03:00,2017-12-31 09:50:32,41.792301,-80.175667,,I-79 N,Venango,PA
T-27469982,Congestion,2,76,2017-12-31 09:09:00,2017-12-31 09:54:30,41.786118,-80.179123,,I-79 S,Venango,PA
T-27469983,Congestion,2,74,2017-12-31 09:06:00,2017-12-31 09:55:35,42.08149,-80.023308,,I-90 W,Erie,PA
T-27469984,Congestion,2,76,2017-12-31 09:03:00,2017-12-31 10:00:31,41.866844,-80.176414,,I-79 N,Edinboro,PA
T-27469985,Congestion,1,75,2017-12-31 09:19:00,2017-12-31 10:00:32,41.945435,-80.398422,,I-90 W,Girard,PA
T-27469986,Congestion,1,75,2017-12-31 09:19:00,2017-12-31 09:59:34,42.047539,-80.114136,,I-79 N,Erie,PA
T-27469987,Congestion,2,74,2017-12-31 09:20:00,2017-12-31 10:00:31,42.188316,-79.829384,,I-90 E,North East,PA
T-27469988,Congestion,2,74,2017-12-31 09:21:00,2017-12-31 10:04:31,42.078678,-80.111801,,I-79 S,Erie,PA
T-27469989,Congestion,1,73,2017-12-31 09:15:00,2017-12-31 10:04:32,42.084137,-79.821541,11480.0,Route 89,Wattsburg,PA
T-27469990,Congestion,1,75,2017-12-31 09:27:00,2017-12-31 10:08:31,42.008362,-80.231087,,I-90 W,Fairview,PA
T-27469991,Congestion,2,76,2017-12-31 09:41:00,2017-12-31 10:23:32,42.025875,-80.136047,,I-90 W,Mc Kean,PA
T-27469992,Congestion,2,75,2017-12-31 09:47:00,2017-12-31 10:28:32,42.011951,-80.15258,,I-79 S,Mc Kean,PA
T-27469993,Congestion,1,74,2017-12-31 09:27:00,2017-12-31 10:35:33,42.199612,-79.940178,7854.0,E Lake Rd,Erie,PA
T-27469994,Congestion,2,72,2017-12-31 09:59:00,2017-12-31 10:40:32,41.973839,-80.177025,,I-79 S,Mc Kean,PA
T-27469995,Congestion,1,72,2017-12-31 09:49:00,2017-12-31 10:40:32,42.11734,-79.832008,10937.0,Station Rd,North East,PA
T-27469996,Congestion,1,75,2017-12-31 10:08:00,2017-12-31 10:50:08,42.100636,-78.80751,,Southern Tier Expy E,Salamanca,NY
T-27469997,Congestion,0,73,2017-12-31 10:09:00,2017-12-31 10:49:32,42.120117,-79.813065,11421.0,Station Rd,North East,PA
T-27469998,Congestion,2,75,2017-12-31 10:05:00,2017-12-31 10:50:08,42.151588,-79.411751,,Southern Tier Expy E,Ashville,NY
T-27469999,Congestion,1,75,2017-12-31 10:17:00,2017-12-31 10:58:34,42.042957,-80.11837,,I-79 S,Erie,PA
T-27470000,Congestion,1,74,2017-12-31 10:24:00,2017-12-31 11:15:32,42.065571,-80.10585,,I-79 N,Erie,PA
T-27470001,Congestion,1,74,2017-12-31 10:39:00,2017-12-31 11:20:34,41.913898,-80.175797,,I-79 N,Edinboro,PA
T-27470002,Congestion,2,76,2017-12-31 10:30:00,2017-12-31 11:30:33,41.770275,-80.190536,,I-79 N,Saegertown,PA
T-27470003,Congestion,2,70,2017-12-31 10:54:00,2017-12-31 11:34:32,42.124237,-80.047203,,Bayfront Connector,Erie,PA
T-27470004,Congestion,1,76,2017-12-31 11:03:00,2017-12-31 11:44:33,42.048286,-80.114555,,I-79 S,Erie,PA
T-27470005,Congestion,2,74,2017-12-31 11:10:00,2017-12-31 11:55:36,41.814381,-80.17643,,I-79 S,Cambridge Springs,PA
T-27470006,Congestion,2,71,2017-12-31 11:12:00,2017-12-31 11:53:50,41.920738,-80.554871,,I-90 W,Conneaut,OH
T-27470007,Congestion,1,74,2017-12-31 11:23:00,2017-12-31 12:14:35,41.928234,-79.959236,718.0,Route 97,Waterford,PA
T-27470008,Congestion,2,72,2017-12-31 11:28:00,2017-12-31 12:17:38,42.148117,-79.999199,4598.0,Buffalo Rd,Erie,PA
T-27470009,Congestion,1,75,2017-12-31 11:40:00,2017-12-31 12:28:45,41.780121,-79.787552,21671.0,State Highway 8,Centerville,PA
T-27470010,Congestion,2,76,2017-12-31 11:44:00,2017-12-31 12:27:34,41.783142,-80.179993,,I-79 N,Venango,PA
T-27470011,Congestion,1,74,2017-12-31 11:48:00,2017-12-31 12:39:38,41.827385,-80.175613,,I-79 S,Cambridge Springs,PA
T-27470012,Congestion,2,75,2017-12-31 11:54:00,2017-12-31 12:39:38,41.885029,-80.175713,,I-79 N,Edinboro,PA
T-27470013,Congestion,2,74,2017-12-31 12:02:00,2017-12-31 12:44:37,42.185043,-79.833527,,I-90 E,North East,PA
T-27470014,Congestion,2,75,2017-12-31 12:08:00,2017-12-31 12:54:36,41.774139,-80.18734,,I-79 N,Saegertown,PA
T-27470015,Congestion,2,70,2017-12-31 11:28:00,2017-12-31 12:53:09,42.471767,-79.319862,3967.0,Williams St,Dunkirk,NY
T-27470016,Congestion,1,76,2017-12-31 12:18:00,2017-12-31 12:59:36,41.907139,-80.175926,,I-79 S,Edinboro,PA
T-27470017,Congestion,2,76,2017-12-31 12:21:00,2017-12-31 13:04:35,41.980911,-80.176628,,I-79 N,Mc Kean,PA
T-27470018,Congestion,2,75,2017-12-31 12:43:00,2017-12-31 13:24:40,41.807003,-80.176163,,I-79 S,Cambridge Springs,PA
T-27470019,Congestion,2,71,2017-12-31 12:46:00,2017-12-31 13:27:37,41.921207,-80.176926,,I-79 S,Edinboro,PA
T-27470020,Congestion,2,76,2017-12-31 12:44:00,2017-12-31 13:39:37,41.772175,-80.188965,,I-79 N,Saegertown,PA
T-27470021,Congestion,2,75,2017-12-31 13:00:00,2017-12-31 13:49:39,41.876633,-79.867714,8100.0,Route 6,Union City,PA
T-27470022,Congestion,1,73,2017-12-31 13:00:00,2017-12-31 13:48:47,41.913322,-80.22538,10557.0,Route 98,Edinboro,PA
T-27470023,Congestion,1,74,2017-12-31 13:05:00,2017-12-31 13:52:36,41.909878,-80.125534,11982.0,Edinboro Rd,Edinboro,PA
T-27470024,Congestion,0,74,2017-12-31 13:09:00,2017-12-31 13:54:37,42.060467,-79.934563,10178.0,Wattsburg Rd,Erie,PA
T-27470025,Congestion,0,73,2017-12-31 13:18:00,2017-12-31 13:58:42,41.88541,-80.225731,11390.0,Route 98,Edinboro,PA
T-27470026,Congestion,0,74,2017-12-31 13:20:00,2017-12-31 14:08:46,41.834484,-79.818459,25459.0,State Highway 8,Union City,PA
T-27470027,Congestion,1,74,2017-12-31 13:21:00,2017-12-31 14:09:37,42.025932,-79.836479,12996.0,Route 8,Wattsburg,PA
T-27470028,Congestion,2,76,2017-12-31 13:29:00,2017-12-31 14:14:39,41.770275,-80.190536,,I-79 N,Saegertown,PA
T-27470029,Congestion,3,75,2017-12-31 13:35:00,2017-12-31 14:19:39,41.86058,-80.176537,,I-79 N,Edinboro,PA
T-27470030,Congestion,2,74,2017-12-31 13:51:00,2017-12-31 14:34:39,41.814381,-80.17643,,I-79 S,Cambridge Springs,PA
T-27470031,Congestion,2,76,2017-12-31 13:50:00,2017-12-31 14:33:48,41.866844,-80.176414,,I-79 N,Edinboro,PA
T-27470032,Congestion,1,75,2017-12-31 13:47:00,2017-12-31 14:34:39,42.058044,-79.916168,6699.0,Siegel Rd,Waterford,PA
T-27470033,Congestion,0,75,2017-12-31 14:04:00,2017-12-31 14:49:42,41.925285,-79.941605,1581.0,Route 97,Waterford,PA
T-27470034,Congestion,2,72,2017-12-31 14:13:00,2017-12-31 14:54:42,41.856434,-80.176163,,I-79 N,Edinboro,PA
T-27470035,Congestion,2,76,2017-12-31 14:07:00,2017-12-31 14:50:47,41.894173,-80.176109,,I-79 S,Edinboro,PA
T-27470036,Congestion,1,75,2017-12-31 14:13:00,2017-12-31 15:02:42,41.806335,-79.6996,43281.0,State Highway 77,Spartansburg,PA
T-27470037,Congestion,2,76,2017-12-31 14:28:00,2017-12-31 15:13:43,41.841915,-80.175781,,I-79 N,Edinboro,PA
T-27470038,Congestion,1,73,2017-12-31 14:29:00,2017-12-31 15:17:43,41.78315,-79.784035,38622.0,State Highway 77,Centerville,PA
T-27470039,Congestion,1,74,2017-12-31 14:41:00,2017-12-31 15:34:42,41.848881,-79.82383,26463.0,State Highway 8,Union City,PA
T-27470040,Congestion,2,70,2017-12-31 14:44:00,2017-12-31 15:34:34,42.103115,-78.423492,,Southern Tier Expy E,Olean,NY
T-27470041,Congestion,1,75,2017-12-31 14:54:00,2017-12-31 15:39:44,41.908531,-79.901596,6294.0,Route 97,Waterford,PA
T-27470042,Congestion,2,75,2017-12-31 15:01:00,2017-12-31 15:44:43,41.889755,-80.175583,,I-79 N,Edinboro,PA
T-27470043,Congestion,2,76,2017-12-31 15:22:00,2017-12-31 16:03:52,41.901283,-80.175278,,I-79 N,Edinboro,PA
T-27470044,Congestion,1,75,2017-12-31 15:19:00,2017-12-31 16:09:51,41.780121,-79.787552,21671.0,State Highway 8,Centerville,PA
T-27470045,Congestion,2,75,2017-12-31 15:28:00,2017-12-31 16:09:51,41.893124,-80.175484,,I-79 N,Edinboro,PA
T-27470046,Congestion,2,76,2017-12-31 15:41:00,2017-12-31 16:24:49,41.99609,-80.166084,,I-79 N,Mc Kean,PA
T-27470047,Congestion,1,71,2017-12-31 15:54:00,2017-12-31 16:37:29,42.924709,-78.854637,1936.0,Main St,Buffalo,NY
T-27470048,Congestion,1,73,2017-12-31 16:43:00,2017-12-31 17:24:59,42.124306,-80.046577,,Bayfront Connector,Erie,PA
T-27470049,Congestion,2,74,2017-12-31 17:40:00,2017-12-31 18:28:53,41.993191,-80.027245,10445.0,Route 19 N,Waterford,PA
T-27470050,Congestion,2,74,2017-12-31 18:01:00,2017-12-31 18:45:04,42.22366,-79.785355,,I-90 E,North East,PA
T-27470051,Congestion,1,75,2017-12-31 18:03:00,2017-12-31 18:49:51,42.057796,-79.913826,10560.0,Wattsburg Rd,Erie,PA
T-27470052,Congestion,1,74,2017-12-31 18:07:00,2017-12-31 18:54:53,41.991917,-80.000328,10621.0,Route 97 N,Waterford,PA
T-27470053,Congestion,2,74,2017-12-31 18:16:00,2017-12-31 19:03:53,41.984467,-80.018745,10906.0,Route 19 N,Waterford,PA
T-27470054,Congestion,1,75,2017-12-31 18:16:00,2017-12-31 19:02:53,42.025932,-79.836479,12996.0,Route 8,Wattsburg,PA
T-27470055,Congestion,1,72,2017-12-31 18:21:00,2017-12-31 19:05:52,42.05542,-80.088036,6901.0,Peach St,Erie,PA
T-27470056,Congestion,1,72,2017-12-31 18:20:00,2017-12-31 19:05:52,42.066574,-80.092964,5893.0,Peach St,Erie,PA
T-27470057,Flow-Incident,3,240,2017-12-31 18:31:49,2017-12-31 19:11:00,41.934025,-79.980583,1.0,Route 97,Waterford,PA
T-27470058,Congestion,2,75,2017-12-31 18:39:00,2017-12-31 19:19:51,41.827385,-80.175613,,I-79 S,Cambridge Springs,PA
T-27470059,Congestion,1,75,2017-12-31 18:33:00,2017-12-31 19:19:00,42.010017,-80.009972,9956.0,Perry Hwy,Waterford,PA
T-27470060,Congestion,0,75,2017-12-31 18:34:00,2017-12-31 19:19:51,42.058453,-79.863487,11065.0,Phillipsville Colt Station Rd,Wattsburg,PA
T-27470061,Congestion,2,75,2017-12-31 18:40:00,2017-12-31 19:24:53,42.150635,-79.864388,,Southern Tier Expy W,North East,PA
T-27470062,Congestion,1,72,2017-12-31 18:46:00,2017-12-31 19:28:02,42.076359,-80.09288,1600.0,Dudley St,Erie,PA
T-27470063,Congestion,2,76,2017-12-31 18:51:00,2017-12-31 19:34:52,41.957184,-80.172546,,I-79 N,Edinboro,PA
T-27470064,Congestion,2,75,2017-12-31 18:51:00,2017-12-31 19:34:52,42.160061,-79.877838,,I-90 E,North East,PA
T-27470065,Congestion,2,74,2017-12-31 18:54:00,2017-12-31 19:35:59,42.09523,-80.001884,,I-90 E,Erie,PA
T-27470066,Congestion,2,74,2017-12-31 19:04:00,2017-12-31 20:09:54,42.098427,-79.995834,,I-90 W,Erie,PA
T-27470067,Congestion,1,75,2017-12-31 19:25:00,2017-12-31 20:09:54,42.145519,-79.91053,,I-90 W,Harborcreek,PA
T-27470068,Congestion,2,75,2017-12-31 19:34:00,2017-12-31 20:23:52,42.129421,-79.762062,,PA-17 E,North East,PA
T-27470069,Broken-Vehicle,3,211,2017-12-31 19:48:06,2017-12-31 20:17:33,42.093571,-80.00592,,Wattsburg Rd,Erie,PA
T-27470070,Congestion,2,75,2017-12-31 19:53:00,2017-12-31 20:39:56,42.14867,-79.852966,,Southern Tier Expy W,North East,PA
T-27470071,Congestion,2,75,2017-12-31 20:20:00,2017-12-31 21:10:04,41.774139,-80.18734,,I-79 N,Saegertown,PA
T-27470072,Congestion,2,74,2017-12-31 20:19:00,2017-12-31 21:08:50,42.012375,-80.044563,9644.0,Peach St,Waterford,PA
T-27470073,Congestion,1,74,2017-12-31 20:47:00,2017-12-31 21:34:07,41.983463,-79.995827,10985.0,Route 97 N,Waterford,PA
T-27470074,Congestion,2,76,2017-12-31 21:01:00,2017-12-31 21:44:06,42.220978,-79.788719,,I-90 E,North East,PA
T-27470075,Congestion,1,75,2017-12-31 21:07:00,2017-12-31 21:53:50,42.010017,-80.009972,9956.0,Perry Hwy,Waterford,PA
T-27470076,Congestion,2,72,2017-12-31 21:12:00,2017-12-31 22:04:35,43.242641,-78.531914,8946.0,Ridge Rd,Gasport,NY
T-27470077,Event,1,1502,2017-12-31 21:30:00,2018-01-01 06:30:00,42.127644,-80.082077,847.0,French St,Erie,PA
