EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-4977764,Congestion,1,71,2020-12-31 22:05:00,2020-12-31 23:31:18,41.96822,-87.729912,4065.0,W Lawrence Ave,Chicago,IL
T-4977765,Congestion,0,71,2020-12-31 22:13:00,2020-12-31 23:30:24,41.968761,-87.679184,,N Damen Ave,Chicago,IL
T-4977766,Congestion,1,72,2020-12-31 15:45:00,2020-12-31 23:35:23,41.990891,-87.660904,1209.0,W Elmdale Ave,Chicago,IL
T-4977768,Congestion,0,72,2020-12-31 22:52:00,2020-12-31 23:33:16,41.837097,-87.695007,3111.0,S California Ave,Chicago,IL
T-4977769,Congestion,0,72,2020-12-31 22:53:00,2020-12-31 23:34:20,41.850361,-87.724731,2248.0,S Pulaski Rd,Chicago,IL
T-4977770,Congestion,0,72,2020-12-31 22:49:00,2020-12-31 23:37:27,41.85294,-87.666039,2169.0,S Ashland Ave,Chicago,IL
T-4977771,Congestion,0,72,2020-12-31 22:48:00,2020-12-31 23:51:34,41.894474,-87.765358,781.0,N Central Ave,Chicago,IL
T-4977772,Congestion,0,71,2020-12-31 22:52:00,2020-12-31 23:33:16,41.874161,-87.65947,1305.0,W Harrison St,Chicago,IL
T-4977774,Congestion,0,72,2020-12-31 22:52:00,2020-12-31 23:33:16,41.903381,-87.666168,1101.0,N Bosworth Ave,Chicago,IL
T-4977776,Congestion,0,72,2020-12-31 22:53:00,2020-12-31 23:34:19,41.916245,-87.746056,1951.0,N Cicero Ave,Chicago,IL
T-4977780,Congestion,0,72,2020-12-31 22:52:00,2020-12-31 23:33:16,41.947701,-87.678574,3624.0,N Damen Ave,Chicago,IL
T-4977781,Congestion,1,72,2020-12-31 22:51:00,2020-12-31 23:32:24,41.947708,-87.76683,3701.0,N Central Ave,Chicago,IL
T-4977783,Flow-Incident,1,214,2020-12-31 22:52:00,2020-12-31 23:33:16,41.955219,-87.712967,4048.0,N Kimball Ave,Chicago,IL
T-4977786,Congestion,1,71,2020-12-31 21:36:00,2020-12-31 23:37:27,41.976677,-87.713577,5253.0,N Kimball Ave,Chicago,IL
T-4977788,Congestion,0,72,2020-12-31 22:53:00,2020-12-31 23:34:20,41.99052,-87.688927,2354.0,W Peterson Ave,Chicago,IL
T-4977789,Congestion,0,70,2020-12-31 22:52:00,2020-12-31 23:39:17,41.994362,-87.71402,6297.0,N Kimball Ave,Chicago,IL
T-4977790,Congestion,0,72,2020-12-31 22:51:00,2020-12-31 23:35:23,41.999062,-87.689903,6475.0,N Western Ave,Chicago,IL
T-4977791,Congestion,0,72,2020-12-31 22:53:00,2020-12-31 23:37:27,41.784981,-87.741211,5937.0,S Cicero Ave,Chicago,IL
T-4977792,Congestion,1,72,2020-12-31 22:56:00,2020-12-31 23:44:17,41.8134,-87.70533,4403.0,S Archer Ave,Chicago,IL
T-4977793,Congestion,1,71,2020-12-31 20:52:00,2020-12-31 23:37:27,41.838421,-87.61795,369.0,E 31st St,Chicago,IL
T-4977794,Congestion,0,72,2020-12-31 22:56:00,2020-12-31 23:37:27,41.851521,-87.733421,4332.0,W Cermak Rd,Chicago,IL
T-4977796,Congestion,1,71,2020-12-31 22:52:00,2020-12-31 23:44:17,41.880249,-87.765511,5614.0,W Madison St,Chicago,IL
T-4977797,Congestion,0,72,2020-12-31 22:56:00,2020-12-31 23:37:27,41.890656,-87.647591,465.0,N Halsted St,Chicago,IL
T-4977798,Congestion,1,71,2020-12-31 22:56:00,2020-12-31 23:37:27,41.896679,-87.76545,899.0,N Central Ave,Chicago,IL
T-4977799,Congestion,1,72,2020-12-31 22:54:00,2020-12-31 23:44:17,41.914127,-87.765656,1865.0,N Central Ave,Chicago,IL
T-4977800,Congestion,0,72,2020-12-31 22:54:00,2020-12-31 23:37:27,41.909039,-87.793633,6721.0,North Ave,Oak Park,IL
T-4977801,Congestion,1,71,2020-12-31 22:54:00,2020-12-31 23:35:23,41.924889,-87.689407,2348.0,N Campbell Ave,Chicago,IL
T-4977802,Congestion,0,70,2020-12-31 22:54:00,2020-12-31 23:35:23,41.932503,-87.712303,2806.0,N Kimball Ave,Chicago,IL
T-4977803,Congestion,0,72,2020-12-31 22:54:00,2020-12-31 23:37:27,41.933823,-87.687859,2901.0,N Western Ave,Chicago,IL
T-4977804,Congestion,0,72,2020-12-31 22:54:00,2020-12-31 23:35:23,41.935181,-87.668503,,W Oakdale Ave,Chicago,IL
T-4977807,Congestion,0,72,2020-12-31 22:54:00,2020-12-31 23:35:23,41.938969,-87.736816,4369.0,W Belmont Ave,Chicago,IL
T-4977808,Congestion,0,72,2020-12-31 22:54:00,2020-12-31 23:44:17,41.945702,-87.783798,3598.0,N Mobile Ave,Chicago,IL
