EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-4131,Snow,Light,2017-12-31 08:15:00,2017-12-31 10:15:00,0.0,34.6986,-99.3381,Altus,OK
W-8843,Snow,Light,2017-12-31 07:18:00,2017-12-31 08:38:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-8844,Fog,Moderate,2017-12-31 08:38:00,2017-12-31 09:18:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-8845,Cold,Severe,2017-12-31 11:18:00,2018-01-01 17:57:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-13858,Rain,Light,2017-12-31 02:53:00,2017-12-31 03:53:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-13859,Rain,Light,2017-12-31 07:18:00,2017-12-31 07:30:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-13860,Rain,Light,2017-12-31 07:53:00,2017-12-31 08:53:00,0.01,30.5378,-91.1468,Baton Rouge,LA
W-18743,Cold,Severe,2017-12-31 02:35:00,2017-12-31 03:15:00,0.0,43.9581,-90.7397,Sparta,WI
W-18744,Snow,Light,2017-12-31 10:15:00,2017-12-31 10:35:00,0.0,43.9581,-90.7397,Sparta,WI
W-28943,Snow,Light,2017-12-31 13:36:00,2017-12-31 15:53:00,0.01,42.8808,-85.5228,Grand Rapids,MI
W-42263,Snow,Light,2017-12-31 01:37:00,2017-12-31 02:37:00,0.0,42.4269,-73.289,Pittsfield,MA
W-42264,Fog,Moderate,2017-12-31 09:54:00,2017-12-31 10:54:00,0.0,42.4269,-73.289,Pittsfield,MA
W-85037,Fog,Moderate,2017-12-31 06:35:00,2017-12-31 06:55:00,0.0,42.5764,-84.8124,Charlotte,MI
W-85038,Cold,Severe,2017-12-31 06:55:00,2017-12-31 07:15:00,0.0,42.5764,-84.8124,Charlotte,MI
W-85039,Snow,Light,2017-12-31 07:35:00,2017-12-31 07:55:00,0.0,42.5764,-84.8124,Charlotte,MI
W-85040,Snow,Light,2017-12-31 08:35:00,2017-12-31 08:55:00,0.0,42.5764,-84.8124,Charlotte,MI
W-91907,Snow,Light,2017-12-31 08:52:00,2017-12-31 10:52:00,0.0,42.955,-87.9044,Milwaukee,WI
W-91908,Snow,Light,2017-12-31 11:52:00,2017-12-31 12:52:00,0.0,42.955,-87.9044,Milwaukee,WI
W-101762,Fog,Severe,2017-12-31 01:48:00,2017-12-31 01:53:00,0.0,45.7691,-122.8637,Scappoose,OR
W-101763,Fog,Severe,2017-12-31 03:01:00,2017-12-31 03:34:00,0.0,45.7691,-122.8637,Scappoose,OR
W-101764,Fog,Severe,2017-12-31 03:53:00,2017-12-31 04:19:00,0.0,45.7691,-122.8637,Scappoose,OR
W-101765,Fog,Severe,2017-12-31 06:37:00,2017-12-31 07:04:00,0.0,45.7691,-122.8637,Scappoose,OR
W-101766,Fog,Severe,2017-12-31 07:14:00,2017-12-31 08:58:00,0.0,45.7691,-122.8637,Scappoose,OR
W-101767,Fog,Severe,2017-12-31 09:09:00,2017-12-31 09:33:00,0.0,45.7691,-122.8637,Scappoose,OR
W-101768,Fog,Severe,2017-12-31 10:20:00,2017-12-31 10:35:00,0.0,45.7691,-122.8637,Scappoose,OR
W-101769,Fog,Severe,2017-12-31 10:53:00,2017-12-31 11:05:00,0.0,45.7691,-122.8637,Scappoose,OR
W-111662,Cold,Severe,2017-12-31 22:53:00,2018-01-01 16:53:00,0.0,44.5483,-95.0804,Redwood Falls,MN
W-121379,Cold,Severe,2017-12-31 00:55:00,2017-12-31 01:35:00,0.0,46.0244,-92.8991,Hinckley,MN
W-121380,Cold,Severe,2017-12-31 02:35:00,2017-12-31 17:55:00,0.0,46.0244,-92.8991,Hinckley,MN
W-148486,Snow,Light,2017-12-31 03:51:00,2017-12-31 04:10:00,0.0,40.9181,-81.4434,Green,OH
W-148487,Snow,Light,2017-12-31 04:51:00,2017-12-31 05:51:00,0.0,40.9181,-81.4434,Green,OH
W-148488,Snow,Light,2017-12-31 15:51:00,2017-12-31 16:51:00,0.0,40.9181,-81.4434,Green,OH
W-164815,Snow,Light,2017-12-31 01:54:00,2017-12-31 06:54:00,0.07,41.534,-93.6531,Bloomfield,IA
W-164816,Snow,Moderate,2017-12-31 06:54:00,2017-12-31 07:04:00,0.03,41.534,-93.6531,Bloomfield,IA
W-164817,Snow,Light,2017-12-31 07:04:00,2017-12-31 10:54:00,0.04,41.534,-93.6531,Bloomfield,IA
W-182877,Rain,Light,2017-12-31 21:56:00,2017-12-31 22:56:00,0.0,34.2487,-82.1591,Greenwood,SC
W-187780,Cold,Severe,2017-12-31 10:53:00,2017-12-31 18:53:00,0.0,45.0625,-93.3508,Minneapolis,MN
W-192115,Rain,Light,2017-12-31 18:47:00,2017-12-31 20:36:00,0.0,31.1387,-97.7145,Fort Hood,TX
W-192116,Fog,Severe,2017-12-31 20:36:00,2017-12-31 21:30:00,0.0,31.1387,-97.7145,Fort Hood,TX
W-192117,Rain,Light,2017-12-31 21:30:00,2017-12-31 22:08:00,0.0,31.1387,-97.7145,Fort Hood,TX
W-192118,Fog,Severe,2017-12-31 22:08:00,2017-12-31 23:23:00,0.0,31.1387,-97.7145,Fort Hood,TX
W-192119,Snow,Light,2017-12-31 23:23:00,2017-12-31 23:48:00,0.0,31.1387,-97.7145,Fort Hood,TX
W-192120,Rain,Light,2017-12-31 23:49:00,2017-12-31 23:53:00,0.0,31.1387,-97.7145,Fort Hood,TX
W-192121,Snow,Light,2017-12-31 23:53:00,2018-01-01 00:12:00,0.0,31.1387,-97.7145,Fort Hood,TX
W-204267,Snow,Light,2017-12-31 02:35:00,2017-12-31 03:55:00,0.0,41.1881,-103.6774,Kimball,NE
W-204268,Snow,Light,2017-12-31 07:15:00,2017-12-31 07:55:00,0.0,41.1881,-103.6774,Kimball,NE
W-204269,Snow,Light,2017-12-31 09:35:00,2017-12-31 10:15:00,0.0,41.1881,-103.6774,Kimball,NE
W-204270,Snow,Light,2017-12-31 14:55:00,2018-01-01 00:55:00,0.0,41.1881,-103.6774,Kimball,NE
W-218075,Cold,Severe,2017-12-31 10:53:00,2017-12-31 17:53:00,0.0,44.9324,-93.0559,Saint Paul,MN
W-228483,Rain,Light,2017-12-31 04:58:00,2017-12-31 05:58:00,0.0,31.0425,-86.3117,Florala,AL
W-228484,Rain,Light,2017-12-31 10:14:00,2017-12-31 10:58:00,0.02,31.0425,-86.3117,Florala,AL
W-228485,Rain,Light,2017-12-31 14:30:00,2017-12-31 16:57:00,0.52,31.0425,-86.3117,Florala,AL
W-228486,Rain,Moderate,2017-12-31 16:57:00,2017-12-31 17:10:00,0.1,31.0425,-86.3117,Florala,AL
W-228487,Rain,Light,2017-12-31 17:10:00,2017-12-31 18:44:00,0.25,31.0425,-86.3117,Florala,AL
W-228488,Rain,Light,2017-12-31 18:58:00,2017-12-31 19:37:00,0.01,31.0425,-86.3117,Florala,AL
W-228489,Rain,Light,2017-12-31 20:57:00,2017-12-31 23:42:00,0.0,31.0425,-86.3117,Florala,AL
