EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-70658,Rain,Light,2022-12-31 12:35:00,2022-12-31 12:55:00,0.0,35.5825,-79.1014,Sanford,NC
W-70659,Fog,Severe,2022-12-31 12:55:00,2022-12-31 14:55:00,0.0,35.5825,-79.1014,Sanford,NC
W-70660,Rain,Light,2022-12-31 18:15:00,2022-12-31 20:35:00,0.15,35.5825,-79.1014,Sanford,NC
W-70661,Rain,Moderate,2022-12-31 20:35:00,2022-12-31 21:15:00,0.34,35.5825,-79.1014,Sanford,NC
W-70662,Rain,Light,2022-12-31 21:15:00,2022-12-31 21:55:00,0.13,35.5825,-79.1014,Sanford,NC
W-70663,Rain,Moderate,2022-12-31 21:55:00,2022-12-31 22:15:00,0.1,35.5825,-79.1014,Sanford,NC
W-70664,Rain,Light,2022-12-31 22:15:00,2022-12-31 22:55:00,0.07,35.5825,-79.1014,Sanford,NC
W-76366,Fog,Severe,2022-12-31 02:48:00,2022-12-31 02:53:00,0.0,41.3509,-71.8054,Westerly,RI
W-76367,Fog,Severe,2022-12-31 08:23:00,2022-12-31 10:35:00,0.0,41.3509,-71.8054,Westerly,RI
W-76368,Rain,Light,2022-12-31 10:35:00,2022-12-31 10:42:00,0.0,41.3509,-71.8054,Westerly,RI
W-76369,Fog,Severe,2022-12-31 10:42:00,2022-12-31 11:00:00,0.0,41.3509,-71.8054,Westerly,RI
W-76370,Rain,Light,2022-12-31 11:00:00,2022-12-31 11:40:00,0.0,41.3509,-71.8054,Westerly,RI
W-76371,Fog,Severe,2022-12-31 11:40:00,2022-12-31 12:06:00,0.0,41.3509,-71.8054,Westerly,RI
W-76372,Rain,Light,2022-12-31 12:06:00,2022-12-31 13:53:00,0.12,41.3509,-71.8054,Westerly,RI
W-76373,Fog,Severe,2022-12-31 13:53:00,2022-12-31 14:35:00,0.0,41.3509,-71.8054,Westerly,RI
W-76374,Rain,Light,2022-12-31 14:35:00,2022-12-31 14:53:00,0.01,41.3509,-71.8054,Westerly,RI
W-76375,Fog,Severe,2022-12-31 14:53:00,2022-12-31 15:01:00,0.0,41.3509,-71.8054,Westerly,RI
W-76376,Fog,Severe,2022-12-31 15:17:00,2022-12-31 16:18:00,0.0,41.3509,-71.8054,Westerly,RI
W-76377,Rain,Light,2022-12-31 16:18:00,2022-12-31 20:40:00,0.3,41.3509,-71.8054,Westerly,RI
W-76378,Rain,Moderate,2022-12-31 20:40:00,2022-12-31 21:05:00,0.22,41.3509,-71.8054,Westerly,RI
W-82559,Rain,Light,2022-12-31 10:54:00,2022-12-31 11:54:00,0.0,42.2706,-71.8731,Worcester,MA
W-82560,Rain,Light,2022-12-31 12:36:00,2022-12-31 12:54:00,0.0,42.2706,-71.8731,Worcester,MA
W-82561,Fog,Severe,2022-12-31 13:30:00,2022-12-31 14:47:00,0.0,42.2706,-71.8731,Worcester,MA
W-82562,Fog,Severe,2022-12-31 15:57:00,2022-12-31 19:54:00,0.0,42.2706,-71.8731,Worcester,MA
W-82563,Rain,Light,2022-12-31 19:54:00,2022-12-31 20:54:00,0.02,42.2706,-71.8731,Worcester,MA
W-82564,Fog,Severe,2022-12-31 20:54:00,2022-12-31 21:54:00,0.0,42.2706,-71.8731,Worcester,MA
W-89866,Fog,Severe,2022-12-31 09:35:00,2022-12-31 10:15:00,0.0,42.5764,-84.8124,Charlotte,MI
W-89867,Fog,Severe,2022-12-31 10:35:00,2022-12-31 13:15:00,0.0,42.5764,-84.8124,Charlotte,MI
W-89868,Fog,Severe,2022-12-31 13:35:00,2022-12-31 15:55:00,0.0,42.5764,-84.8124,Charlotte,MI
W-99681,Fog,Severe,2022-12-31 10:17:00,2022-12-31 10:37:00,0.0,41.2638,-72.8868,East Haven,CT
W-99682,Rain,Light,2022-12-31 10:37:00,2022-12-31 10:53:00,0.01,41.2638,-72.8868,East Haven,CT
W-99683,Fog,Severe,2022-12-31 10:53:00,2022-12-31 12:41:00,0.0,41.2638,-72.8868,East Haven,CT
W-99684,Rain,Light,2022-12-31 12:41:00,2022-12-31 12:53:00,0.03,41.2638,-72.8868,East Haven,CT
W-99685,Fog,Severe,2022-12-31 12:53:00,2022-12-31 19:50:00,0.0,41.2638,-72.8868,East Haven,CT
W-99686,Rain,Light,2022-12-31 19:50:00,2022-12-31 23:53:00,0.16,41.2638,-72.8868,East Haven,CT
W-106021,Rain,Light,2022-12-31 00:53:00,2022-12-31 06:18:00,0.23,45.7691,-122.8637,Scappoose,OR
W-106022,Fog,Severe,2022-12-31 08:56:00,2022-12-31 09:18:00,0.0,45.7691,-122.8637,Scappoose,OR
W-106023,Fog,Severe,2022-12-31 09:24:00,2022-12-31 09:37:00,0.0,45.7691,-122.8637,Scappoose,OR
W-106024,Rain,Light,2022-12-31 13:26:00,2022-12-31 14:08:00,0.03,45.7691,-122.8637,Scappoose,OR
W-106025,Rain,Light,2022-12-31 21:53:00,2022-12-31 23:53:00,0.0,45.7691,-122.8637,Scappoose,OR
W-114354,Fog,Severe,2022-12-31 02:01:00,2022-12-31 02:16:00,0.0,44.5483,-95.0804,Redwood Falls,MN
W-114355,Fog,Moderate,2022-12-31 22:51:00,2022-12-31 23:53:00,0.0,44.5483,-95.0804,Redwood Falls,MN
W-119600,Rain,Light,2022-12-31 09:53:00,2022-12-31 10:42:00,0.0,45.5511,-122.4089,Troutdale,OR
W-119601,Rain,Light,2022-12-31 13:53:00,2022-12-31 15:53:00,0.05,45.5511,-122.4089,Troutdale,OR
W-119602,Fog,Severe,2022-12-31 17:00:00,2022-12-31 17:45:00,0.0,45.5511,-122.4089,Troutdale,OR
W-119603,Fog,Moderate,2022-12-31 17:45:00,2022-12-31 17:47:00,0.0,45.5511,-122.4089,Troutdale,OR
W-119604,Fog,Severe,2022-12-31 17:47:00,2022-12-31 18:01:00,0.0,45.5511,-122.4089,Troutdale,OR
W-119605,Rain,Light,2022-12-31 18:53:00,2022-12-31 20:00:00,0.0,45.5511,-122.4089,Troutdale,OR
W-124571,Snow,Light,2022-12-31 20:15:00,2022-12-31 22:15:00,0.0,46.0244,-92.8991,Hinckley,MN
W-124572,Snow,Light,2022-12-31 22:55:00,2022-12-31 23:15:00,0.0,46.0244,-92.8991,Hinckley,MN
W-128579,Rain,Light,2022-12-31 01:12:00,2022-12-31 12:53:00,0.76,36.9394,-121.79,Freedom,CA
W-128580,Rain,Light,2022-12-31 13:49:00,2022-12-31 14:23:00,0.0,36.9394,-121.79,Freedom,CA
W-128581,Rain,Light,2022-12-31 14:53:00,2022-12-31 15:53:00,0.01,36.9394,-121.79,Freedom,CA
W-128582,Rain,Light,2022-12-31 16:53:00,2022-12-31 18:25:00,0.23,36.9394,-121.79,Freedom,CA
W-128583,Rain,Moderate,2022-12-31 18:25:00,2022-12-31 20:03:00,0.75,36.9394,-121.79,Freedom,CA
W-128584,Rain,Light,2022-12-31 20:03:00,2022-12-31 20:53:00,0.02,36.9394,-121.79,Freedom,CA
W-128585,Rain,Moderate,2022-12-31 20:53:00,2022-12-31 20:58:00,0.23,36.9394,-121.79,Freedom,CA
W-128586,Rain,Light,2022-12-31 20:58:00,2022-12-31 21:07:00,0.03,36.9394,-121.79,Freedom,CA
W-128587,Rain,Moderate,2022-12-31 21:07:00,2022-12-31 21:39:00,0.54,36.9394,-121.79,Freedom,CA
W-128588,Rain,Heavy,2022-12-31 21:39:00,2022-12-31 22:03:00,0.81,36.9394,-121.79,Freedom,CA
W-128589,Rain,Light,2022-12-31 22:03:00,2022-12-31 22:44:00,0.16,36.9394,-121.79,Freedom,CA
W-139434,Rain,Light,2022-12-31 10:56:00,2022-12-31 12:47:00,0.02,42.1534,-79.258,Jamestown,NY
W-139435,Rain,Light,2022-12-31 13:56:00,2022-12-31 15:56:00,0.14,42.1534,-79.258,Jamestown,NY
W-139436,Rain,Light,2022-12-31 16:33:00,2022-12-31 17:56:00,0.02,42.1534,-79.258,Jamestown,NY
W-139437,Fog,Severe,2022-12-31 17:56:00,2022-12-31 18:13:00,0.0,42.1534,-79.258,Jamestown,NY
W-139438,Rain,Light,2022-12-31 18:13:00,2022-12-31 23:56:00,0.27,42.1534,-79.258,Jamestown,NY
W-144055,Fog,Severe,2022-12-31 05:25:00,2022-12-31 15:07:00,0.0,45.868,-95.394,Alexandria,MN
W-152266,Rain,Light,2022-12-31 08:51:00,2022-12-31 16:51:00,0.32,40.9181,-81.4434,Green,OH
W-152267,Fog,Severe,2022-12-31 16:51:00,2022-12-31 17:51:00,0.0,40.9181,-81.4434,Green,OH
W-152268,Rain,Light,2022-12-31 17:51:00,2022-12-31 21:51:00,0.07,40.9181,-81.4434,Green,OH
W-157941,Fog,Severe,2022-12-31 02:15:00,2022-12-31 03:55:00,0.0,44.3048,-96.8169,Brookings,SD
W-161002,Fog,Severe,2022-12-31 04:53:00,2022-12-31 05:28:00,0.0,35.3022,-112.1942,Williams,AZ
W-161003,Fog,Severe,2022-12-31 07:57:00,2022-12-31 08:27:00,0.0,35.3022,-112.1942,Williams,AZ
W-161004,Fog,Severe,2022-12-31 08:57:00,2022-12-31 09:20:00,0.0,35.3022,-112.1942,Williams,AZ
W-161005,Fog,Severe,2022-12-31 10:09:00,2022-12-31 11:27:00,0.0,35.3022,-112.1942,Williams,AZ
W-161006,Fog,Severe,2022-12-31 11:43:00,2022-12-31 11:52:00,0.0,35.3022,-112.1942,Williams,AZ
W-163432,Rain,Moderate,2022-12-31 03:55:00,2022-12-31 04:15:00,0.14,39.1906,-119.7319,Carson City,NV
W-163433,Rain,Light,2022-12-31 04:15:00,2022-12-31 05:55:00,0.06,39.1906,-119.7319,Carson City,NV
W-163434,Rain,Moderate,2022-12-31 05:55:00,2022-12-31 06:15:00,0.1,39.1906,-119.7319,Carson City,NV
W-163435,Rain,Light,2022-12-31 06:15:00,2022-12-31 11:55:00,0.34,39.1906,-119.7319,Carson City,NV
W-163436,Rain,Moderate,2022-12-31 11:55:00,2022-12-31 12:15:00,0.11,39.1906,-119.7319,Carson City,NV
W-163437,Rain,Light,2022-12-31 12:15:00,2022-12-31 15:55:00,0.17,39.1906,-119.7319,Carson City,NV
W-163438,Rain,Moderate,2022-12-31 15:55:00,2022-12-31 16:15:00,0.1,39.1906,-119.7319,Carson City,NV
W-163439,Rain,Light,2022-12-31 16:15:00,2022-12-31 16:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-163440,Rain,Moderate,2022-12-31 16:55:00,2022-12-31 17:15:00,0.1,39.1906,-119.7319,Carson City,NV
W-163441,Rain,Light,2022-12-31 17:15:00,2022-12-31 17:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-163442,Snow,Heavy,2022-12-31 17:55:00,2022-12-31 18:15:00,0.17,39.1906,-119.7319,Carson City,NV
W-163443,Snow,Light,2022-12-31 18:15:00,2022-12-31 18:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-163444,Snow,Heavy,2022-12-31 18:55:00,2022-12-31 19:15:00,0.21,39.1906,-119.7319,Carson City,NV
W-163445,Snow,Light,2022-12-31 19:15:00,2022-12-31 19:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-163446,Snow,Heavy,2022-12-31 19:55:00,2022-12-31 20:15:00,0.19,39.1906,-119.7319,Carson City,NV
W-163447,Snow,Light,2022-12-31 20:15:00,2022-12-31 20:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-163448,Snow,Heavy,2022-12-31 20:55:00,2022-12-31 21:15:00,0.08,39.1906,-119.7319,Carson City,NV
W-163449,Snow,Light,2022-12-31 21:15:00,2022-12-31 21:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-163450,Snow,Heavy,2022-12-31 21:55:00,2022-12-31 22:15:00,0.21,39.1906,-119.7319,Carson City,NV
W-163451,Snow,Light,2022-12-31 22:15:00,2022-12-31 22:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-163452,Snow,Heavy,2022-12-31 22:55:00,2022-12-31 23:15:00,0.16,39.1906,-119.7319,Carson City,NV
W-163453,Snow,Light,2022-12-31 23:15:00,2022-12-31 23:55:00,0.0,39.1906,-119.7319,Carson City,NV
W-176232,Rain,Light,2022-12-31 01:53:00,2022-12-31 04:53:00,0.11,33.3544,-84.5689,Peachtree City,GA
W-176233,Fog,Severe,2022-12-31 07:44:00,2022-12-31 10:25:00,0.0,33.3544,-84.5689,Peachtree City,GA
W-176234,Fog,Severe,2022-12-31 15:33:00,2022-12-31 15:51:00,0.0,33.3544,-84.5689,Peachtree City,GA
W-176235,Rain,Light,2022-12-31 16:34:00,2022-12-31 17:22:00,0.13,33.3544,-84.5689,Peachtree City,GA
W-181710,Fog,Severe,2022-12-31 07:35:00,2022-12-31 07:55:00,0.0,38.5876,-90.9938,Marthasville,MO
W-181711,Fog,Severe,2022-12-31 11:35:00,2022-12-31 14:55:00,0.0,38.5876,-90.9938,Marthasville,MO
W-186328,Fog,Severe,2022-12-31 01:15:00,2022-12-31 06:34:00,0.0,34.2487,-82.1591,Greenwood,SC
W-186329,Fog,Severe,2022-12-31 12:56:00,2022-12-31 13:33:00,0.0,34.2487,-82.1591,Greenwood,SC
W-186330,Rain,Light,2022-12-31 13:33:00,2022-12-31 13:52:00,0.01,34.2487,-82.1591,Greenwood,SC
W-186331,Fog,Severe,2022-12-31 13:52:00,2022-12-31 14:06:00,0.0,34.2487,-82.1591,Greenwood,SC
W-186332,Rain,Light,2022-12-31 14:06:00,2022-12-31 15:56:00,0.24,34.2487,-82.1591,Greenwood,SC
W-186333,Fog,Severe,2022-12-31 15:56:00,2022-12-31 17:56:00,0.0,34.2487,-82.1591,Greenwood,SC
W-186334,Rain,Light,2022-12-31 18:16:00,2022-12-31 18:32:00,0.01,34.2487,-82.1591,Greenwood,SC
W-186335,Rain,Light,2022-12-31 21:31:00,2022-12-31 21:45:00,0.0,34.2487,-82.1591,Greenwood,SC
W-190470,Fog,Severe,2022-12-31 06:34:00,2022-12-31 11:53:00,0.0,45.0625,-93.3508,Minneapolis,MN
W-199565,Rain,Light,2022-12-31 00:04:00,2022-12-31 05:27:00,0.16,42.7274,-114.4547,Jerome,ID
W-199566,Rain,Light,2022-12-31 05:53:00,2022-12-31 09:27:00,0.33,42.7274,-114.4547,Jerome,ID
W-199567,Fog,Severe,2022-12-31 09:27:00,2022-12-31 12:07:00,0.0,42.7274,-114.4547,Jerome,ID
W-202855,Rain,Light,2022-12-31 02:45:00,2022-12-31 06:24:00,0.12,45.2907,-118.0088,La Grande,OR
W-202856,Snow,Light,2022-12-31 06:32:00,2022-12-31 06:41:00,0.02,45.2907,-118.0088,La Grande,OR
