EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-6254,Rain,Light,2020-12-31 22:15:00,2020-12-31 22:24:00,0.0,34.6986,-99.3381,Altus,OK
W-6255,Rain,Light,2020-12-31 23:08:00,2020-12-31 23:23:00,0.0,34.6986,-99.3381,Altus,OK
W-6256,Rain,Light,2020-12-31 23:39:00,2021-01-01 05:56:00,0.35,34.6986,-99.3381,Altus,OK
W-15817,Rain,Light,2020-12-31 11:53:00,2020-12-31 12:53:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-15818,Rain,Light,2020-12-31 19:53:00,2020-12-31 20:49:00,0.01,30.5378,-91.1468,Baton Rouge,LA
W-15819,Rain,Light,2020-12-31 21:13:00,2020-12-31 21:53:00,0.1,30.5378,-91.1468,Baton Rouge,LA
W-15820,Rain,Light,2020-12-31 22:55:00,2020-12-31 22:56:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-25681,Snow,Light,2020-12-31 02:56:00,2020-12-31 03:56:00,0.0,43.745,-111.0912,Driggs,ID
W-25682,Snow,Light,2020-12-31 05:56:00,2020-12-31 07:56:00,0.0,43.745,-111.0912,Driggs,ID
W-25683,Snow,Light,2020-12-31 09:56:00,2020-12-31 10:56:00,0.0,43.745,-111.0912,Driggs,ID
W-25684,Snow,Light,2020-12-31 11:56:00,2020-12-31 18:56:00,0.0,43.745,-111.0912,Driggs,ID
W-39074,Snow,Light,2020-12-31 10:55:00,2020-12-31 11:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39075,Snow,Light,2020-12-31 12:15:00,2020-12-31 13:15:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39076,Snow,Light,2020-12-31 13:35:00,2020-12-31 13:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-45291,Rain,Light,2020-12-31 02:54:00,2020-12-31 08:54:00,0.42,42.4269,-73.289,Pittsfield,MA
W-45292,Rain,Light,2020-12-31 09:51:00,2020-12-31 10:54:00,0.0,42.4269,-73.289,Pittsfield,MA
W-45293,Rain,Light,2020-12-31 11:08:00,2020-12-31 11:28:00,0.0,42.4269,-73.289,Pittsfield,MA
W-45294,Snow,Light,2020-12-31 13:11:00,2020-12-31 13:40:00,0.0,42.4269,-73.289,Pittsfield,MA
W-53498,Rain,Light,2020-12-31 22:53:00,2021-01-01 01:53:00,0.06,36.0425,-95.99,Tulsa,OK
W-63159,Rain,Light,2020-12-31 09:35:00,2020-12-31 09:55:00,0.01,34.9157,-81.9565,Roebuck,SC
W-63160,Rain,Light,2020-12-31 10:15:00,2020-12-31 11:15:00,0.11,34.9157,-81.9565,Roebuck,SC
W-63161,Fog,Severe,2020-12-31 11:35:00,2020-12-31 12:15:00,0.0,34.9157,-81.9565,Roebuck,SC
W-63162,Rain,Light,2020-12-31 12:15:00,2020-12-31 12:35:00,0.0,34.9157,-81.9565,Roebuck,SC
W-63163,Fog,Severe,2020-12-31 12:35:00,2020-12-31 13:35:00,0.0,34.9157,-81.9565,Roebuck,SC
W-63164,Fog,Severe,2020-12-31 14:15:00,2020-12-31 18:15:00,0.0,34.9157,-81.9565,Roebuck,SC
W-63165,Rain,Light,2020-12-31 18:55:00,2020-12-31 19:15:00,0.0,34.9157,-81.9565,Roebuck,SC
W-63166,Rain,Light,2020-12-31 19:55:00,2020-12-31 20:15:00,0.0,34.9157,-81.9565,Roebuck,SC
W-68886,Rain,Light,2020-12-31 00:15:00,2020-12-31 01:35:00,0.0,35.5825,-79.1014,Sanford,NC
W-68887,Rain,Light,2020-12-31 01:55:00,2020-12-31 02:15:00,0.01,35.5825,-79.1014,Sanford,NC
W-68888,Rain,Light,2020-12-31 07:35:00,2020-12-31 07:55:00,0.0,35.5825,-79.1014,Sanford,NC
W-68889,Rain,Light,2020-12-31 08:35:00,2020-12-31 12:15:00,0.31,35.5825,-79.1014,Sanford,NC
W-68890,Rain,Moderate,2020-12-31 12:15:00,2020-12-31 13:15:00,0.4,35.5825,-79.1014,Sanford,NC
W-68891,Fog,Severe,2020-12-31 13:15:00,2020-12-31 13:35:00,0.0,35.5825,-79.1014,Sanford,NC
W-68892,Rain,Light,2020-12-31 13:35:00,2020-12-31 13:55:00,0.0,35.5825,-79.1014,Sanford,NC
W-68893,Fog,Severe,2020-12-31 14:15:00,2020-12-31 17:15:00,0.0,35.5825,-79.1014,Sanford,NC
W-68894,Rain,Light,2020-12-31 17:15:00,2020-12-31 22:15:00,0.25,35.5825,-79.1014,Sanford,NC
W-68895,Cold,Severe,2020-12-31 22:15:00,2020-12-31 22:35:00,0.0,35.5825,-79.1014,Sanford,NC
W-68896,Rain,Light,2020-12-31 22:35:00,2021-01-01 00:55:00,0.09,35.5825,-79.1014,Sanford,NC
W-74948,Rain,Light,2020-12-31 07:11:00,2020-12-31 07:53:00,0.0,41.3509,-71.8054,Westerly,RI
W-74949,Rain,Light,2020-12-31 09:53:00,2020-12-31 13:38:00,0.42,41.3509,-71.8054,Westerly,RI
W-74950,Rain,Moderate,2020-12-31 13:38:00,2020-12-31 14:53:00,0.21,41.3509,-71.8054,Westerly,RI
W-74951,Rain,Light,2020-12-31 14:53:00,2020-12-31 16:53:00,0.11,41.3509,-71.8054,Westerly,RI
W-80902,Rain,Light,2020-12-31 04:54:00,2020-12-31 10:54:00,0.27,42.2706,-71.8731,Worcester,MA
W-80903,Rain,Moderate,2020-12-31 10:54:00,2020-12-31 11:54:00,0.13,42.2706,-71.8731,Worcester,MA
W-80904,Rain,Light,2020-12-31 12:54:00,2020-12-31 13:54:00,0.0,42.2706,-71.8731,Worcester,MA
