EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-2266042,Rain,Light,2017-12-31 23:27:00,2017-12-31 23:52:00,30.4278,-86.6893,Hurlburt Field,FL
W-2272650,Snow,Light,2017-12-31 17:55:00,2017-12-31 18:35:00,41.9197,-84.5853,Hillsdale,MI
W-2272651,Fog,Moderate,2017-12-31 18:55:00,2017-12-31 19:15:00,41.9197,-84.5853,Hillsdale,MI
W-2272652,Snow,Light,2017-12-31 19:15:00,2017-12-31 19:35:00,41.9197,-84.5853,Hillsdale,MI
W-2272653,Snow,Light,2017-12-31 21:35:00,2017-12-31 22:15:00,41.9197,-84.5853,Hillsdale,MI
W-2272654,Snow,Light,2017-12-31 22:55:00,2018-01-01 02:35:00,41.9197,-84.5853,Hillsdale,MI
W-2276872,Fog,Severe,2017-12-31 11:54:00,2017-12-31 12:10:00,44.1246,-123.212,Eugene,OR
W-2276873,Snow,Light,2017-12-31 12:10:00,2017-12-31 12:18:00,44.1246,-123.212,Eugene,OR
W-2276874,Fog,Severe,2017-12-31 12:18:00,2017-12-31 18:36:00,44.1246,-123.212,Eugene,OR
W-2285873,Snow,Light,2017-12-31 10:35:00,2017-12-31 10:55:00,35.7238,-96.8203,Chandler,OK
W-2285874,Fog,Moderate,2017-12-31 19:55:00,2017-12-31 20:15:00,35.7238,-96.8203,Chandler,OK
W-2292463,Snow,Light,2017-12-31 05:52:00,2017-12-31 07:52:00,42.6973,-73.1696,North Adams,MA
W-2292464,Fog,Moderate,2017-12-31 12:52:00,2017-12-31 13:52:00,42.6973,-73.1696,North Adams,MA
W-2295973,Rain,Light,2017-12-31 17:46:00,2017-12-31 22:53:00,30.3934,-86.4674,Destin,FL
W-2295974,Fog,Moderate,2017-12-31 22:53:00,2017-12-31 23:53:00,30.3934,-86.4674,Destin,FL
W-2295975,Rain,Light,2017-12-31 23:53:00,2018-01-01 00:53:00,30.3934,-86.4674,Destin,FL
W-2299408,Snow,Light,2017-12-31 09:31:00,2017-12-31 09:56:00,43.2111,-90.1873,Spring Green,WI
W-2299409,Fog,Moderate,2017-12-31 09:56:00,2017-12-31 10:18:00,43.2111,-90.1873,Spring Green,WI
W-2299410,Snow,Light,2017-12-31 10:18:00,2017-12-31 11:30:00,43.2111,-90.1873,Spring Green,WI
W-2299411,Fog,Severe,2017-12-31 11:30:00,2017-12-31 11:49:00,43.2111,-90.1873,Spring Green,WI
W-2299412,Fog,Moderate,2017-12-31 11:49:00,2017-12-31 12:28:00,43.2111,-90.1873,Spring Green,WI
W-2299413,Fog,Severe,2017-12-31 12:28:00,2017-12-31 12:56:00,43.2111,-90.1873,Spring Green,WI
W-2299414,Fog,Moderate,2017-12-31 12:56:00,2017-12-31 13:25:00,43.2111,-90.1873,Spring Green,WI
W-2306021,Rain,Light,2017-12-31 02:53:00,2017-12-31 03:53:00,29.9521,-94.0261,Beaumont,TX
W-2309824,Snow,Light,2017-12-31 04:27:00,2017-12-31 05:03:00,41.1183,-95.9125,Offutt AFB,NE
W-2309825,Snow,Light,2017-12-31 05:33:00,2017-12-31 07:07:00,41.1183,-95.9125,Offutt AFB,NE
W-2309826,Snow,Light,2017-12-31 07:26:00,2017-12-31 07:56:00,41.1183,-95.9125,Offutt AFB,NE
W-2309827,Snow,Light,2017-12-31 11:59:00,2017-12-31 12:10:00,41.1183,-95.9125,Offutt AFB,NE
W-2312899,Snow,Light,2017-12-31 11:15:00,2017-12-31 13:15:00,35.613,-100.9963,Pampa,TX
W-2315319,Snow,Light,2017-12-31 11:54:00,2017-12-31 13:54:00,42.1933,-89.0933,Rockford,IL
W-2318231,Snow,Light,2017-12-31 08:53:00,2017-12-31 09:53:00,44.5174,-108.0752,Greybull,WY
W-2318232,Fog,Moderate,2017-12-31 16:53:00,2017-12-31 17:53:00,44.5174,-108.0752,Greybull,WY
W-2318233,Snow,Light,2017-12-31 19:32:00,2017-12-31 20:07:00,44.5174,-108.0752,Greybull,WY
W-2320734,Snow,Light,2017-12-31 11:15:00,2017-12-31 16:35:00,40.0307,-86.2514,Zionsville,IN
W-2320735,Snow,Light,2017-12-31 17:15:00,2017-12-31 17:35:00,40.0307,-86.2514,Zionsville,IN
W-2324772,Fog,Severe,2017-12-31 08:35:00,2017-12-31 09:15:00,30.1715,-96.9784,Giddings,TX
W-2327562,Rain,Light,2017-12-31 14:31:00,2017-12-31 15:27:00,29.5337,-98.4698,San Antonio,TX
W-2327563,Rain,Light,2017-12-31 16:51:00,2017-12-31 17:33:00,29.5337,-98.4698,San Antonio,TX
W-2333323,Cold,Severe,2017-12-31 22:15:00,2018-01-01 16:55:00,43.91,-95.1072,Windom,MN
W-2337044,Cold,Severe,2017-12-31 10:15:00,2017-12-31 17:35:00,45.0002,-92.8549,Lake Elmo,MN
W-2340762,Cold,Severe,2017-12-31 11:54:00,2017-12-31 14:54:00,45.8184,-88.1146,Kingsford,MI
