EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-13165,Rain,Light,2016-12-31 09:53:00,2016-12-31 10:53:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-13166,Rain,Light,2016-12-31 13:53:00,2016-12-31 19:48:00,0.12,30.5378,-91.1468,Baton Rouge,LA
W-13167,Rain,Moderate,2016-12-31 19:48:00,2016-12-31 20:01:00,0.3,30.5378,-91.1468,Baton Rouge,LA
W-13168,Rain,Light,2016-12-31 20:01:00,2016-12-31 20:53:00,0.04,30.5378,-91.1468,Baton Rouge,LA
W-13169,Rain,Heavy,2016-12-31 20:53:00,2016-12-31 22:10:00,0.96,30.5378,-91.1468,Baton Rouge,LA
W-13170,Rain,Light,2016-12-31 22:10:00,2016-12-31 22:53:00,0.07,30.5378,-91.1468,Baton Rouge,LA
W-13171,Rain,Moderate,2016-12-31 22:53:00,2016-12-31 23:53:00,0.25,30.5378,-91.1468,Baton Rouge,LA
W-13172,Rain,Heavy,2016-12-31 23:53:00,2017-01-01 01:37:00,1.75,30.5378,-91.1468,Baton Rouge,LA
W-22558,Snow,Light,2016-12-31 00:36:00,2016-12-31 06:50:00,0.06,43.745,-111.0912,Driggs,ID
W-22559,Fog,Severe,2016-12-31 09:14:00,2016-12-31 10:31:00,0.0,43.745,-111.0912,Driggs,ID
W-22560,Snow,Light,2016-12-31 10:31:00,2016-12-31 10:39:00,0.0,43.745,-111.0912,Driggs,ID
W-22561,Fog,Severe,2016-12-31 10:39:00,2016-12-31 11:41:00,0.0,43.745,-111.0912,Driggs,ID
W-22562,Fog,Severe,2016-12-31 12:16:00,2016-12-31 13:52:00,0.0,43.745,-111.0912,Driggs,ID
W-22563,Fog,Severe,2016-12-31 14:13:00,2016-12-31 16:37:00,0.0,43.745,-111.0912,Driggs,ID
W-22564,Snow,Light,2016-12-31 16:37:00,2016-12-31 16:52:00,0.0,43.745,-111.0912,Driggs,ID
W-22565,Fog,Severe,2016-12-31 16:52:00,2016-12-31 16:56:00,0.0,43.745,-111.0912,Driggs,ID
W-22566,Snow,Light,2016-12-31 16:56:00,2016-12-31 17:56:00,0.0,43.745,-111.0912,Driggs,ID
W-22567,Fog,Moderate,2016-12-31 18:56:00,2016-12-31 19:00:00,0.0,43.745,-111.0912,Driggs,ID
W-22568,Snow,Light,2016-12-31 19:00:00,2016-12-31 19:22:00,0.0,43.745,-111.0912,Driggs,ID
W-22569,Fog,Moderate,2016-12-31 19:56:00,2016-12-31 21:53:00,0.0,43.745,-111.0912,Driggs,ID
W-22570,Snow,Light,2016-12-31 21:53:00,2017-01-01 02:13:00,0.0,43.745,-111.0912,Driggs,ID
W-28199,Snow,Light,2016-12-31 17:53:00,2016-12-31 18:31:00,0.01,42.8808,-85.5228,Grand Rapids,MI
