EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-2228,Cold,Severe,2021-12-31 03:55:00,2021-12-31 04:14:00,0.0,38.0972,-106.1689,Saguache,CO
W-6799,Fog,Moderate,2021-12-31 19:56:00,2021-12-31 20:36:00,0.0,34.6986,-99.3381,Altus,OK
W-6800,Rain,Light,2021-12-31 20:36:00,2021-12-31 20:56:00,0.0,34.6986,-99.3381,Altus,OK
W-6801,Rain,Light,2021-12-31 21:45:00,2021-12-31 21:59:00,0.0,34.6986,-99.3381,Altus,OK
W-6802,Rain,Light,2021-12-31 22:05:00,2021-12-31 23:56:00,0.02,34.6986,-99.3381,Altus,OK
W-11498,Fog,Severe,2021-12-31 06:35:00,2021-12-31 08:15:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-26283,Snow,Light,2021-12-31 09:34:00,2021-12-31 21:18:00,0.04,43.745,-111.0912,Driggs,ID
W-26284,Snow,Light,2021-12-31 21:43:00,2021-12-31 23:56:00,0.0,43.745,-111.0912,Driggs,ID
W-32067,Snow,Light,2021-12-31 02:53:00,2021-12-31 03:51:00,0.0,42.8808,-85.5228,Grand Rapids,MI
W-32068,Fog,Severe,2021-12-31 03:51:00,2021-12-31 04:03:00,0.0,42.8808,-85.5228,Grand Rapids,MI
W-32069,Fog,Severe,2021-12-31 04:31:00,2021-12-31 07:45:00,0.0,42.8808,-85.5228,Grand Rapids,MI
W-39697,Fog,Severe,2021-12-31 03:10:00,2021-12-31 03:30:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39698,Snow,Light,2021-12-31 03:30:00,2021-12-31 06:10:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39699,Snow,Light,2021-12-31 06:30:00,2021-12-31 07:50:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39700,Snow,Light,2021-12-31 08:10:00,2021-12-31 08:50:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39701,Snow,Light,2021-12-31 09:30:00,2021-12-31 17:10:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39702,Snow,Light,2021-12-31 17:30:00,2021-12-31 18:30:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39703,Fog,Moderate,2021-12-31 22:10:00,2021-12-31 22:30:00,0.0,41.8241,-110.557,Kemmerer,WY
W-39704,Snow,Light,2021-12-31 22:30:00,2021-12-31 23:10:00,0.0,41.8241,-110.557,Kemmerer,WY
W-46316,Rain,Light,2021-12-31 00:54:00,2021-12-31 01:13:00,0.01,42.4269,-73.289,Pittsfield,MA
W-46317,Fog,Severe,2021-12-31 02:23:00,2021-12-31 02:37:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46318,Rain,Light,2021-12-31 02:51:00,2021-12-31 03:12:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46319,Fog,Severe,2021-12-31 03:12:00,2021-12-31 04:54:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46320,Rain,Light,2021-12-31 04:54:00,2021-12-31 05:47:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46321,Fog,Severe,2021-12-31 05:47:00,2021-12-31 07:25:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46322,Rain,Light,2021-12-31 07:25:00,2021-12-31 08:54:00,0.19,42.4269,-73.289,Pittsfield,MA
W-46323,Fog,Severe,2021-12-31 08:54:00,2021-12-31 11:25:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46324,Fog,Severe,2021-12-31 11:31:00,2021-12-31 14:39:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46325,Fog,Severe,2021-12-31 15:04:00,2021-12-31 15:11:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46326,Fog,Severe,2021-12-31 20:26:00,2021-12-31 20:33:00,0.0,42.4269,-73.289,Pittsfield,MA
W-46327,Fog,Severe,2021-12-31 23:42:00,2022-01-01 01:13:00,0.0,42.4269,-73.289,Pittsfield,MA
W-54036,Rain,Light,2021-12-31 20:53:00,2021-12-31 21:53:00,0.0,36.0425,-95.99,Tulsa,OK
W-56230,Rain,Light,2021-12-31 11:35:00,2021-12-31 12:55:00,0.02,32.2885,-106.9132,Las Cruces,NM
W-56231,Rain,Light,2021-12-31 13:15:00,2021-12-31 13:35:00,0.02,32.2885,-106.9132,Las Cruces,NM
W-56232,Rain,Light,2021-12-31 13:55:00,2021-12-31 14:55:00,0.16,32.2885,-106.9132,Las Cruces,NM
W-56233,Rain,Light,2021-12-31 15:35:00,2021-12-31 19:55:00,0.19,32.2885,-106.9132,Las Cruces,NM
W-56234,Rain,Light,2021-12-31 20:15:00,2021-12-31 21:15:00,0.0,32.2885,-106.9132,Las Cruces,NM
W-56235,Rain,Light,2021-12-31 21:55:00,2021-12-31 22:15:00,0.0,32.2885,-106.9132,Las Cruces,NM
