EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-8334,Snow,Light,2019-12-31 00:35:00,2019-12-31 02:15:00,43.6822,-93.3722,Albert Lea,MN
W-8335,Fog,Severe,2019-12-31 02:15:00,2019-12-31 02:55:00,43.6822,-93.3722,Albert Lea,MN
W-8336,Snow,Light,2019-12-31 02:55:00,2019-12-31 07:35:00,43.6822,-93.3722,Albert Lea,MN
W-18830,Snow,Light,2019-12-31 13:54:00,2020-01-01 02:56:00,43.745,-111.0912,Driggs,ID
W-22770,Snow,Moderate,2019-12-31 07:50:00,2019-12-31 08:05:00,42.8808,-85.5228,Grand Rapids,MI
W-22771,Snow,Light,2019-12-31 08:05:00,2019-12-31 09:53:00,42.8808,-85.5228,Grand Rapids,MI
W-22772,Snow,Moderate,2019-12-31 09:53:00,2019-12-31 10:26:00,42.8808,-85.5228,Grand Rapids,MI
W-22773,Snow,Light,2019-12-31 10:26:00,2020-01-01 03:53:00,42.8808,-85.5228,Grand Rapids,MI
W-27747,Fog,Severe,2019-12-31 07:15:00,2019-12-31 07:35:00,41.8241,-110.557,Kemmerer,WY
W-27748,Fog,Severe,2019-12-31 09:15:00,2019-12-31 09:35:00,41.8241,-110.557,Kemmerer,WY
W-27749,Snow,Light,2019-12-31 09:35:00,2019-12-31 10:15:00,41.8241,-110.557,Kemmerer,WY
W-27750,Fog,Severe,2019-12-31 10:15:00,2019-12-31 10:35:00,41.8241,-110.557,Kemmerer,WY
W-27751,Snow,Light,2019-12-31 10:35:00,2019-12-31 10:55:00,41.8241,-110.557,Kemmerer,WY
W-27752,Fog,Severe,2019-12-31 10:55:00,2019-12-31 11:55:00,41.8241,-110.557,Kemmerer,WY
W-27753,Snow,Light,2019-12-31 11:55:00,2019-12-31 12:55:00,41.8241,-110.557,Kemmerer,WY
W-27754,Snow,Light,2019-12-31 13:35:00,2019-12-31 14:55:00,41.8241,-110.557,Kemmerer,WY
W-27755,Fog,Severe,2019-12-31 20:15:00,2019-12-31 20:35:00,41.8241,-110.557,Kemmerer,WY
W-27756,Snow,Light,2019-12-31 20:35:00,2019-12-31 20:55:00,41.8241,-110.557,Kemmerer,WY
W-27757,Snow,Light,2019-12-31 21:15:00,2019-12-31 21:55:00,41.8241,-110.557,Kemmerer,WY
W-32241,Snow,Light,2019-12-31 05:54:00,2019-12-31 06:11:00,42.4269,-73.289,Pittsfield,MA
W-32242,Snow,Light,2019-12-31 13:10:00,2019-12-31 13:40:00,42.4269,-73.289,Pittsfield,MA
W-32243,Snow,Light,2019-12-31 18:27:00,2019-12-31 18:54:00,42.4269,-73.289,Pittsfield,MA
W-32244,Snow,Light,2019-12-31 23:54:00,2020-01-01 00:21:00,42.4269,-73.289,Pittsfield,MA
W-51738,Fog,Moderate,2019-12-31 04:53:00,2019-12-31 05:32:00,41.3509,-71.8054,Westerly,RI
W-51739,Fog,Severe,2019-12-31 05:32:00,2019-12-31 05:53:00,41.3509,-71.8054,Westerly,RI
W-51740,Fog,Moderate,2019-12-31 05:53:00,2019-12-31 07:53:00,41.3509,-71.8054,Westerly,RI
W-51741,Rain,Light,2019-12-31 08:50:00,2019-12-31 09:02:00,41.3509,-71.8054,Westerly,RI
W-51742,Fog,Moderate,2019-12-31 09:02:00,2019-12-31 09:53:00,41.3509,-71.8054,Westerly,RI
W-55954,Snow,Heavy,2019-12-31 00:08:00,2019-12-31 00:49:00,42.2706,-71.8731,Worcester,MA
W-55955,Snow,Moderate,2019-12-31 01:20:00,2019-12-31 01:31:00,42.2706,-71.8731,Worcester,MA
W-55956,Snow,Heavy,2019-12-31 01:39:00,2019-12-31 02:26:00,42.2706,-71.8731,Worcester,MA
W-55957,Snow,Moderate,2019-12-31 02:26:00,2019-12-31 02:35:00,42.2706,-71.8731,Worcester,MA
W-55958,Snow,Moderate,2019-12-31 02:50:00,2019-12-31 02:54:00,42.2706,-71.8731,Worcester,MA
W-55959,Snow,Heavy,2019-12-31 02:54:00,2019-12-31 03:23:00,42.2706,-71.8731,Worcester,MA
W-55960,Snow,Moderate,2019-12-31 03:34:00,2019-12-31 03:48:00,42.2706,-71.8731,Worcester,MA
W-55961,Fog,Severe,2019-12-31 05:42:00,2019-12-31 05:51:00,42.2706,-71.8731,Worcester,MA
W-55962,Fog,Severe,2019-12-31 06:11:00,2019-12-31 06:19:00,42.2706,-71.8731,Worcester,MA
W-55963,Fog,Severe,2019-12-31 06:31:00,2019-12-31 06:54:00,42.2706,-71.8731,Worcester,MA
W-55964,Fog,Severe,2019-12-31 07:11:00,2019-12-31 07:35:00,42.2706,-71.8731,Worcester,MA
W-55965,Fog,Severe,2019-12-31 08:19:00,2019-12-31 08:41:00,42.2706,-71.8731,Worcester,MA
W-55966,Fog,Severe,2019-12-31 09:23:00,2019-12-31 09:28:00,42.2706,-71.8731,Worcester,MA
W-55967,Fog,Severe,2019-12-31 09:54:00,2019-12-31 10:09:00,42.2706,-71.8731,Worcester,MA
